mechanism,compound,pubchem_cid,relationship,pubchem_active_assays,distinct_target_genes,pubmed_total,pubmed_cartilage_bone,pubmed_paediatric,cartilage_pmids,classification,classification_reason,safety_notes
lysosomal V-ATPase / MTORC1,bafilomycin A1,6436223,original phenotype-positive compound,38,4,2525,22,20,42381999; 41093084; 40728163,MECHANISTIC_PROBE_ONLY,"highly toxic inhibitor of an essential housekeeping pump; excellent probe, not an intervention",V-ATPase is essential in every cell; profound cytotoxicity
lysosomal V-ATPase / MTORC1,concanamycin A,6438151,"second macrolide V-ATPase inhibitor, same paper",6,0,413,2,0,26259639; 14569595,MECHANISTIC_PROBE_ONLY,"highly toxic inhibitor of an essential housekeeping pump; excellent probe, not an intervention",as bafilomycin; essential-target cytotoxicity
lysosomal V-ATPase / MTORC1,chloroquine,2719,structurally unrelated lysosomotropic agent; replicated the phenotype in the same paper,2251,26,23422,75,1401,42401245; 41470005; 41093084,TARGET_CLASS_CANDIDATE,"replicated the elongation phenotype in the same paper and has human exposure, but heavy polypharmacology at the 30 uM used (stage 25)","cardiac QT, retinopathy on chronic use; broad off-target at 30 uM"
lysosomal V-ATPase / MTORC1,hydroxychloroquine,3652,approved chronic-use analogue of chloroquine with paediatric exposure precedent,59,8,11055,33,644,42005103; 39840570; 39089298,TARGET_CLASS_CANDIDATE,approved chronic-use drug with paediatric exposure precedent that reaches the same lysosomal axis; retinal toxicity on long-term use is the known limit,retinopathy with cumulative chronic exposure; QT prolongation
lysosomal V-ATPase / MTORC1,archazolid A,67392552,more selective V-ATPase inhibitor chemotype (tool),0,0,18,0,0,,MECHANISTIC_PROBE_ONLY,tool-grade V-ATPase inhibitor; no chronic human exposure,"essential-target cytotoxicity, tool only"
lysosomal V-ATPase / MTORC1,diphyllin,100492,natural-product V-ATPase inhibitor (tool),107,18,100,1,1,29636095,MECHANISTIC_PROBE_ONLY,tool-grade V-ATPase inhibitor; no chronic human exposure,"essential-target cytotoxicity, tool only"
MTORC1 axis - negative control,rapamycin,5284616,MTORC1 INHIBITOR - should block the effect if the axis is causal,530,80,43176,302,937,42450056; 42416050; 42327311,NEGATIVE_CONTROL,"MTORC1 inhibitor - predicted to BLOCK the bafilomycin effect; this is the falsification arm, not a candidate",immunosuppression; known to REDUCE longitudinal growth
MTORC1 axis - negative control,everolimus,6442177,second MTORC1 inhibitor,62,13,9005,4,359,34259102; 33292128; 23865768,NEGATIVE_CONTROL,"MTORC1 inhibitor - predicted to BLOCK the bafilomycin effect; this is the falsification arm, not a candidate",immunosuppression; growth suppression
PP2A,LB-100,45101433,"original phenotype-positive compound (disease model, combination)",0,0,64,1,3,33986191,REJECT,PP2A inhibitor in oncology development; PP2A is a broad tumour suppressor phosphatase - unacceptable for chronic paediatric use,PP2A is a tumour suppressor; oncogenic liability
CXXC5/WNT,KY19382,148959784,original phenotype-positive compound,0,0,10,1,0,30971423,REJECT,indirubin scaffold with GSK3 liability; stage 21 established that GSK3a/b loss drives precocious growth-plate remodeling (PMID 33609145),WNT activation; plate remodeling hazard
chaperone/HDAC,4-phenylbutyrate,4775,original phenotype-positive compound,20,14,639,5,24,31171565; 30479659; 26329269,REJECT,disease-model rescue only - the source paper reports no significant femur-length effect in wild-type littermates,"high dose burden, sodium load"
FGFR3-ERK (canonical),meclozine,4034,"canonical branch, retained as control",63,22,58,10,5,39514089; 38544920; 36569439,NEGATIVE_CONTROL,"canonical FGFR3-ERK branch, excluded from the novel ranking but useful as an extraction positive control","sedation, anticholinergic"
ciliogenesis/NOS,(-)-epicatechin,72276,original phenotype-positive compound,52,26,6642,6,14,37178981; 36561673; 35078974,TARGET_CLASS_CANDIDATE,large effect but in an Fgfr3 disease model; mechanism (ciliogenesis) not linked to the causal gene set,"food-derived flavanol; low acute toxicity, mechanism unclear"
