pmid,pmcid,doi,title,journal,year,is_open_access,in_epmc,has_suppl,abstract,cited_by_count,found_by_query,corpus_class,length_relevant,evidence_level,local_fulltext,sha256,source_url
42358524,PMC13291535,10.1177/24730114261452667,"Use of an Extended-Length Tibial Tray in Total Ankle Arthroplasty: Rate of Subsidence, Loosening, Heterotopic Bone Formation, and Clinical Outcomes.",Foot & ankle orthopaedics,2026.0,Y,Y,Y,"<h4>Background</h4>Total ankle arthroplasty (TAA) has continued to increase in popularity as a treatment for ankle arthritis. Despite popularity, continual updates to implant designs strive for improved outcomes which has led to different implant design changes including an extended-length tibial tray to offer more distal tibia cortical coverage. The purpose of this study was to compare radiographic findings (tibial component subsidence, tibial component loosening, heterotopic ossification [HO]) and patient-reported outcome measures (PROMs) between 2 age-, gender-, and body mass index-matched TAA groups.<h4>Methods</h4>This study was a retrospective review of TAA patients matched into 2 groups: group 1 patients received the extended tibial tray implant, and group 2 received the standard tibial tray implant. Pre- and postoperative lateral radiographs and PROMs (Veterans-RAND 12 [VR-12] Item Health Survey, Ankle Osteoarthritis Scale [AOS], visual analog scale [VAS], and patient satisfaction) were analyzed.<h4>Results</h4>Seventy-eight patients were allocated to each group. The mean age was 66.7 years in group 1 and 66.9 years in group 2, with a mean follow-up of 44.6 months and 50.7 months, respectively. There were no significant differences between the groups for pre- and postoperative PROMs. Group 1 had higher patient satisfaction with overall care (95.4 vs 89.8, <i>P</i> = .019). Radiographically, the rate of HO formation was significantly lower in group 1 (38.5% vs 62.8%, <i>P</i> < .001), and group 1 also had greater plantarflexion (<i>P</i> = .096) and significantly less dorsiflexion (<i>P</i> = .008).<h4>Conclusion</h4>Results appear to indicate that using TAA implants with an extended-length tibial tray is associated with more complete distal tibia cortical coverage, a numerically lower but statistically nonsignificant rate of tibial component subsidence, less heterotopic ossification formation, a trend toward greater postoperative plantarflexion, and higher patient satisfaction with overall care.<h4>Level of evidence</h4>Level III, retrospective cohort study.",0.0,"(""metatarsal"" AND (""organ culture"" OR explant OR ""bone rudiment"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026])",animal,True,ABSTRACT_ONLY,,,https://europepmc.org/article/PMC/PMC13291535
40765829,PMC12320247,10.7150/ijbs.110133,Fibroblast Growth Factor 19 Disrupts Cartilage Development Via the FGFR4/β-catenin Axis.,International journal of biological sciences,2025.0,Y,Y,Y,"Fibroblast growth factor 19 (FGF19) has received increasing attention in metabolic disorders of the skeletal system, but its role in cartilage development is poorly understood. In the present study, we used <i>ex vivo</i> metatarsal organ model for nascent cartilage and an AAV-FGF19 overexpression model for adolescent growth plates to demonstrate the influence of FGF19 on cartilage development. We found that FGF19 could impair chondrocyte maturation at the neonatal stage and decrease growth plate thickness at the adolescent stage. FGF19 reduces chondrogenic differentiation of mesenchymal stem cells and the chondrocyte maturation via downregulation of Wnt/β-catenin signalling. FGF19-mediated chondrocyte maturation and cartilage differentiation require the participation of FGFR4 with the aid of β-klotho (KLB). FGF19 signalling entered the cytoplasm through FGFR4, activated the expression of SFRP1, WIF1 and DKK2, which are antagonists of β-catenin signalling, and hindered chondrocyte proliferation and cartilage growth. This study demonstrates for the first time that FGF19 inhibits cartilage development through the FGFR4/β-catenin axis, providing evidence for the vital role of FGF19 in growth plate chondrogenesis and endochondral ossification.",2.0,"(""metatarsal"" AND (""organ culture"" OR explant OR ""bone rudiment"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""longitudinal bone growth"") AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""long bone"" AND (elongation OR lengthening)) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""bone elongation"") AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""growth plate"" AND (elongation OR ""linear growth"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""endochondral ossification"") AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""hypertrophic chondrocyte"" AND (enlargement OR volume OR hypertrophy)) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026])",animal,False,ABSTRACT_ONLY,,,https://europepmc.org/article/PMC/PMC12320247
41408981,PMC12961973,10.1002/jor.70123,MicroRNA-127-3p Inhibits In Vitro Osteogenesis and Dampens Trauma-Induced Heterotopic Ossification In Vivo.,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,2026.0,N,Y,Y,"MicroRNAs are small non-coding RNAs that regulate cellular pathways by targeting multiple mRNAs, playing critical roles in skeletal development and homeostasis. Our previous miRNA profiling studies identified higher levels of miR-127-3p in the hypertrophic zone of developing human growth plates while another group found this miRNA to be more highly expressed in murine hindlimb cartilage compared to calvarial bone. Other published work revealed elevated circulating miR-127-3p levels in osteoporotic patients and in long bones of ovariectomized mice. Collectively, these findings suggest a role for miR-127-3p in regulating bone formation. To fill a knowledge gap, we designed a study to determine the function of miR-127-3p in regulating osteogenic differentiation of human bone marrow-derived mesenchymal stromal cells (hBMSCs). While inhibition of miR-127-3p had no effect, mimic overexpression robustly inhibited in vitro osteogenesis. Bulk RNA-sequencing showed a number of cellular pathways affected, including suppression of proliferation-related pathways, which was confirmed by decreased BrdU incorporation. To assess the translational potential of the bone suppressing function of this miRNA, we utilized a pre-clinical mouse model of trauma-induced heterotopic ossification involving Achilles tendon transection. Local delivery of miR-127-3p mimics via peptide-based nanoparticle technology significantly reduced ectopic bone formation at the proximal site of the transected tendon. These studies demonstrate that approaches to overexpress miR-127-3p and induce bone suppressing activity may be of therapeutic value as a means to treat many forms of heterotopic ossification.",0.0,"(""metatarsal"" AND (""organ culture"" OR explant OR ""bone rudiment"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026])",animal,False,ABSTRACT_ONLY,,,https://europepmc.org/article/PMC/PMC12961973
40177110,PMC11964602,10.1016/j.bioactmat.2025.02.008,"Protein to biomaterials: Unraveling the antiviral and proangiogenic activities of Ac-Tβ&lt;sub&gt;1-17&lt;/sub&gt; peptide, a thymosin β4 metabolite, and its implications in peptide-scaffold preparation.",Bioactive materials,2025.0,Y,Y,Y,"Peptide metabolites are emerging biomolecules with numerous possibilities in biomaterial-based regenerative medicine due to their inherent bioactivities. These small, naturally occurring compounds are intermediates or byproducts of larger proteins and peptides, and they can have profound effects, such as antiviral therapeutics, proangiogenic agents, and regenerative medicinal applications. This study is among the first to focus on using thymosin β4 protein-derived metabolites to pioneer novel applications for peptide metabolites in biomaterials. This study found that the novel peptide metabolite acetyl-thymosin β4 (amino acid 1-17) (Ac-Tβ<sub>1-17</sub>) exhibited significant protease inhibition activity against SARS-CoV-2, surpassing its precursor protein. Additionally, Ac-Tβ<sub>1-17</sub> demonstrated beneficial effects, such as cell proliferation, wound healing, and scavenging of reactive oxygen species (ROS) in human umbilical vein endothelial cells (HUVEC). Integrating Ac-Tβ<sub>1-17</sub> into a peptide-based scaffold facilitated cell growth and angiogenesis inside the scaffold and through gradual release into the surrounding environment. The Ac-Tβ<sub>1-17</sub> peptide treatment induced significant biochemical responses in HUVEC, increasing Akt, ERK, PI3K, MEK, and Bcl-2 gene expression and proangiogenic proteins. Ac-Tβ<sub>1-17</sub> peptide treatment showed similar results in ex vivo by enhancing mouse fetal metatarsal growth and angiogenesis. These findings highlight the potential of natural protein metabolites to generate biologically active peptides, offering a novel strategy for enhancing biomaterial compatibility. This approach holds promise for developing therapeutic biomaterials using peptide metabolites, presenting exciting prospects for future research and applications.",2.0,"(""metatarsal"" AND (""organ culture"" OR explant OR ""bone rudiment"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026])",animal,False,ABSTRACT_ONLY,,,https://europepmc.org/article/PMC/PMC11964602
40635120,PMC12239497,10.1186/s13227-025-00248-4,"Retinoic acid regulates the proliferation, differentiation, and cell death of limb skeletal progenitors, contributing to establish the size and identity of the digits.",EvoDevo,2025.0,Y,Y,Y,"<h4>Background</h4>The development of the digits (fingers/toes) provides an excellent model for analyzing the molecular regulation of skeletal morphogenesis in vertebrates. Digits develop in the autopod as radial chondrogenic condensations separated by interdigital spaces containing undifferentiated skeletal progenitors destined to die by apoptosis. In avian species, leg digits are characterized by a differential size, with the first digit being short and the fourth largest.<h4>Results</h4>In vitro experiments using micromass cultures of digit progenitors demonstrated that RA controls the balance between cell death, cell proliferation, and cell differentiation in a dose-dependent fashion. In vivo, qPCR analysis revealed that the RA-synthesizing enzyme Raldh2 and the RA-degrading enzyme Cyp26a1 are expressed in the interdigits in an inverse gradient that correlates with the size of the digit adjacent to each interdigit. RA gain- and loss-of-function experiments via pharmacological approaches confirmed a close correlation between interdigital RA and digit size. A low concentration of RA applied to the first interdigits, when the phalanxes of the first digit are being formed, promoted mesodermal cell proliferation and caused elongation of digit 1, while blocking RA synthesis into the third interdigit inhibited cell proliferation, followed by a reduction in the size of digits 3 and 4.<h4>Conclusions</h4>This study reveals a potential role for Retinoic Acid (RA) expressed in the interdigits in the regulation of the differential digit size. The morphological similarity of the digit patterns obtained in our experimental assays with those of other tetrapods suggests an evolutionary role of RA in determining digit morphology.",0.0,"(""metatarsal"" AND (""organ culture"" OR explant OR ""bone rudiment"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026])",animal,True,ABSTRACT_ONLY,,,https://europepmc.org/article/PMC/PMC12239497
39064775,PMC11279921,10.3390/nu16142333,Astragalus Extract Mixture HT042 Alleviates Dexamethasone-Induced Bone Growth Retardation in Rat Metatarsal Bones.,Nutrients,2024.0,Y,Y,N,"The most widely used synthetic glucocorticoid, dexamethasone (DEX), causes stunted growth in children when used excessively or for long periods of time; however, there are still plenty of pediatric patients require long-term treatment with DEX. As an alternative, growth hormone is used in combination, but it has side effects, a high cost, and psychological factors, and it is not satisfactory in terms of effectiveness. It is necessary to develop a safe and affordable treatment that can replace it. The Korean Food and Drug Administration approved HT042, a standardized functional food ingredient, with the claim that it can help height growth of children. In this study, it was found that HT042 activated the Indian hedgehog/parathyroid hormone-related protein signaling pathway and enhanced the number of growth hormone receptors and insulin-like growth factor-1 receptors on the growth plate surface, which were reduced by DEX treatment, and restored growth retardation. In metatarsal bone and primary chondrocyte models, it was found that HT042 can promote the length of growth plate and recover DEX-induced growth retardation. It was also found that HT042 promotes cell proliferation using bromodeoxyuridine and terminal deoxynucleotidyl transferase dUTP nick end labeling assays; moreover, we verified increased expression of GHR/IGF-1R and Ihh/PTHrP pathway activity using qRT-PCR, western blotting, and siRNA analyses to verify its direct action on the growth plate. The anti-apoptotic effect of HT042 was identified by regulating the expression of apoptotic factors such as caspase-3, Bcl2, Bclx, and Bax. These results were identified using both ex vivo and in vitro models. Our study verified that co-administration of HT042 could recover the DEX induced growth retardation.",1.0,"(""metatarsal"" AND (""organ culture"" OR explant OR ""bone rudiment"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""longitudinal bone growth"") AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026])",animal,True,ABSTRACT_ONLY,,,https://europepmc.org/article/PMC/PMC11279921
38328478,PMC10848303,10.1210/jendso/bvae009,Humanin Treatment Protects Against Venetoclax-Induced Bone Growth Retardation in <i>Ex Vivo</i> Cultured Rat Bones.,Journal of the Endocrine Society,2024.0,Y,Y,N,"<h4>Context</h4>Recent preclinical studies reported that the BCL-2 inhibitor venetoclax can impair bone growth. A strategy to prevent such a side effect of this promising anticancer drug is highly desired. Earlier <i>in vitro</i> and <i>in vivo</i> studies suggested that the mitochondrial peptide humanin has the potential to prevent drug-induced growth impairment.<h4>Objective</h4>We hypothesized that co-treatment with the humanin analog HNG may prevent venetoclax-induced bone growth impairment.<h4>Methods</h4><i>Ex vivo</i> studies were performed in fetal rat metatarsal bones and human growth plate samples cultured for 12 and 2 days, respectively, while <i>in vivo</i> studies were performed in young neuroblastoma mice being treated daily for 14 days. The treatment groups included venetoclax, HNG, venetoclax plus HNG, or vehicle. Bone growth was continuously monitored and at the end point, histomorphometric and immunohistochemical analyses were performed in fixed tissues.<h4>Results</h4>Venetoclax suppressed metatarsal bone growth and when combined with HNG, bone growth was rescued and all histological parameters affected by venetoclax monotherapy were normalized. Mechanistic studies showed that HNG downregulated the pro-apoptotic proteins Bax and p53 in cultured metatarsals and human growth plate tissues, respectively. The study in a neuroblastoma mouse model confirmed a growth-suppressive effect of venetoclax treatment. In this short-term <i>in vivo</i> study, no significant bone growth-rescuing effect could be verified when testing HNG at a single dose. We conclude that humanin dose-dependently protects <i>ex vivo</i> cultured metatarsal bones from venetoclax-induced bone growth impairment by restoring the growth plate microstructure.",2.0,"(""metatarsal"" AND (""organ culture"" OR explant OR ""bone rudiment"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""longitudinal bone growth"") AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026])",animal,True,ABSTRACT_ONLY,,,https://europepmc.org/article/PMC/PMC10848303
40256430,PMC12008630,10.1016/j.gendis.2024.101436,Advances in the mechanism and therapies of achondroplasia.,Genes & diseases,2025.0,Y,Y,N,"Achondroplasia (ACH), is the prevailing type of genetic dwarfism in humans, caused by mutations in fibroblast growth factor receptor 3 (FGFR3) that are inherited in an autosomal dominant manner. FGFR3 is mainly expressed in condensed mesenchyme, chondrocytes, and mature osteoblasts and osteoclasts, in which it regulates the formation, development, growth, and remodeling of the skeletal system. Mutations in FGFR3 causing ACH result in enhanced FGFR3 signaling through combined mechanisms including enhancing FGF dimerization and tyrosine kinase activity and stabilizing FGF receptors. In ACH, suppression of the proliferation and maturation of chondrocytes in the growth plate leads to a notable reduction in growth plate size, trabecular bone volume, and bone elongation through a profound enhancement of FGFR3 signaling. This review aims to comprehensively outline the cellular and molecular mechanisms contributing to the pathological process of ACH and its potential therapeutic interventions.",1.0,"(""metatarsal"" AND (""organ culture"" OR explant OR ""bone rudiment"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""longitudinal bone growth"") AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""long bone"" AND (elongation OR lengthening)) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""bone elongation"") AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""growth velocity"" AND (bone OR tibia OR femur OR stature)) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""growth plate"" AND (elongation OR ""linear growth"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""endochondral ossification"") AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026])",animal,True,ABSTRACT_ONLY,,,https://europepmc.org/article/PMC/PMC12008630
38144567,PMC10740163,10.3389/fendo.2023.1278596,The effects of physiological and injurious hydrostatic pressure on murine &lt;i&gt;ex vivo&lt;/i&gt; articular and growth plate cartilage explants: an RNAseq study.,Frontiers in endocrinology,2023.0,Y,Y,Y,"<h4>Introduction</h4>Chondrocytes are continuously exposed to loads placed upon them. Physiological loads are pivotal to the maintenance of articular cartilage health, while abnormal loads contribute to pathological joint degradation. Similarly, the growth plate cartilage is subject to various loads during growth and development. Due to the high-water content of cartilage, hydrostatic pressure is considered one of the main biomechanical influencers on chondrocytes and has been shown to play an important role in the mechano-regulation of cartilage.<h4>Methods</h4>Herein, we conducted RNAseq analysis of ex vivo hip cap (articular), and metatarsal (growth plate) cartilage cultures subjected to physiological (5 MPa) and injurious (50 MPa) hydrostatic pressure, using the Illumina platform (n = 4 replicates).<h4>Results</h4>Several hundreds of genes were shown to be differentially modulated by hydrostatic pressure, with the majority of these changes evidenced in hip cap cartilage cultures (375 significantly upregulated and 322 downregulated in 5 MPa versus control; 1022 upregulated and 724 downregulated in 50 MPa versus control). Conversely, fewer genes were differentially affected by hydrostatic pressure in the metatarsal cultures (5 significantly upregulated and 23 downregulated in 5 MPa versus control; 7 significantly upregulated and 19 downregulated in 50 MPa versus control). Using Gene Ontology annotations for Biological Processes, in the hip cap data we identified a number of pathways that were modulated by both physiological and injurious hydrostatic pressure. Pathways upregulated in response to 50 MPa versus control, included those involved in the generation of precursor metabolites and cellular respiration. Biological processes that were downregulated in this tissue included ossification, connective tissue development, and chondrocyte differentiation.<h4>Discussion</h4>Collectively our data highlights the divergent chondrocyte phenotypes in articular and growth plate cartilage. Further, we show that the magnitude of hydrostatic pressure application has distinct effects on gene expression and biological processes in hip cap cartilage explants. Finally, we identified differential expression of a number of genes that have previously been identified as osteoarthritis risk genes, including Ctsk, and Chadl. Together these data may provide potential genetic targets for future investigations in osteoarthritis research and novel therapeutics.",4.0,"(""metatarsal"" AND (""organ culture"" OR explant OR ""bone rudiment"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""longitudinal bone growth"") AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026])",animal,False,ABSTRACT_ONLY,,,https://europepmc.org/article/PMC/PMC10740163
,,10.1101/2025.06.10.658745,Polyanionic Non-Collagenous Proteins and Their Analogues Promote Artificial Mineralization of Embryonic Mouse Bone,,2025.0,Y,Y,Y,"Non-collagenous proteins (NCPs) are specialized biomacromolecules within the extracellular matrix (ECM) that regulate the mineralization of calcified tissues, such as bone and dentin. Numerous  in vitro studies have demonstrated that natural polyanionic NCPs and their analogues can mediate intrafibrillar mineralization, characterized by the infiltration of apatite minerals into collagen fibrils. However, these studies primarily utilize self-assembled collagen fibrils or demineralized mature tissues, leaving it unclear whether pristine embryonic bone ECM at a developmental stage permissive to mineral deposition can regulate intrafibrillar mineralization independently or requires polyanionic NCP substitutes to promote the process artificially. To address this, we employed an  ex vivo model of endochondral ossification using metatarsals isolated from 15-day-old embryonic mice (E15). In addition to a supersaturated calcium (Ca) and inorganic phosphate (Pi) medium, we introduced fetuin-A, a native polyanionic NCP or poly-DL-aspartic acid (pAsp), commonly used as an NCP substitute. The incorporation of either additive was essential for the effective mineralization of embryonic metatarsals. Both fetuin-A and pAsp played a direct role in facilitating the infiltration of Ca-Pi precursors into the avascular cartilaginous matrix. Raman spectroscopy and electron microscopy confirmed the formation of hydroxyapatite (HAp) exhibiting diverse levels of crystallinity, with fetuin-A supplementation resulting in the greatest HAp accumulation within the rudiments. HAp was localized in the perichondrium, a region conducive to initial mineralization and enriched with a fibrillar network of collagen types I and II. Three-dimensional reconstructions implementing Dijkstra’s algorithm revealed the association between HAp and collagen fibrils either organized in an intrafibrillar, extrafibrillar, or combined arrangement.",0.0,"(""metatarsal"" AND (""organ culture"" OR explant OR ""bone rudiment"")) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""long bone"" AND (elongation OR lengthening)) AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026]) | (""endochondral ossification"") AND (""small molecule"" OR inhibitor OR agonist OR antagonist OR compound OR drug OR treatment) AND (PUB_YEAR:[1970 TO 2026])",animal,False,ABSTRACT_ONLY,,,https://doi.org/10.1101/2025.06.10.658745
