active_ingredient,source_type,pmid,pmcid,year,title,mentions_growth_effect,mentions_growth_harm,note
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),42197793,PMC13210962,2026,Development of an Improved QCM-D Instrumentation for Affinity Sensing by Bioinspired Molecular-Imprinted Polymers (MIP) for IgG Detection in Serum.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),41618947,PMC12959282,2026,"Phase 3, Open-Label Multicenter Study of Sotatercept in Japanese Participants With Pulmonary Arterial Hypertension.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),41481110,PMC12777750,2025,"Effects of rhEPO-Fc on chronic renal anemia in Chinese patients undergoing maintenance hemodialysis: a multicenter, randomized, open-label, and phase 3 study.",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),,PMC12944742,2026,"Electrochemical Biosensors for Cancer Diagnosis and Prognosis Using Protein Biomarkers: Current Trends, Advances, and Clinical Translation Potential",False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),40558455,PMC12190709,2025,Biological Sensing Using Vertical MoS&lt;sub&gt;2&lt;/sub&gt;-Graphene Heterostructure-Based Field-Effect Transistor Biosensors.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),,PMC12944496,2026,Energy–Biosensor Synergy: Intrinsic Catalytic Reactions as Label-Free Signal Pathways,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),41657393,PMC12874157,2025,Polymerization-Assisted Signal Enhancement and Visual Readout Techniques in Bioassays: A Mini Review.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),41140808,PMC12551598,2025,Polatuzumab Vedotin Induced CD20 Upregulation Contributes to the Efficacy of Mosunetuzumab in Combination With Polatuzumab Vedotin in Diffuse Large B-Cell Lymphoma Preclinical Models.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),41917376,PMC13183706,2026,Pharmacokinetic Comparability Assessment of Tixagevimab and Cilgavimab Developed for COVID-19 Prevention and Treatment Using Standard Exposure Metrics and Partial Area Under the Curve.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
HUMAN IMMUNOGLOBULIN G,regulatory / label-adjacent literature (Europe PMC),41149340,PMC12564282,2025,Ultrasensitive Electrochemical Immunoassays of IgG and CA125 Based on Glucose Oxidase-Catalyzed Signal Amplification with Gold Staining.,False,False,Europe PMC proxy for regulatory documents. FDA and EMA documents are not retrievable as structured data here; openFDA label endpoint shares the same 1000/day budget as stage 79 and was not spent on it.
