pmid,pmcid,doi,title,year,journal,evidence_level,location_in_paper,passage,compounds_in_passage,compounds_in_paper,species,model,age_terms,direction_increase,direction_decrease,pct_values,length_values,concentrations,n_size,stats_reported,measures_actual_length,marker_only_context,canonical_branch,extraction_confidence,manually_read
32770014.0,PMC7414117,10.1038/s41598-020-69904-0,Radial shock waves prevent growth retardation caused by the clinically used drug vismodegib in ex vivo cultured bones.,2020.0,Scientific reports,FULL_TEXT_VERIFIED,body,"In vismodegib treated bones, a single session of rSWT partially rescued bone growth, increased the growth velocity, hypertrophic cell size, and restored growth plate morphology.",vismodegib,GANT61; vismodegib,mouse,metatarsal organ culture,,True,False,,,,,False,True,False,False,0.2,False
32770014.0,PMC7414117,10.1038/s41598-020-69904-0,Radial shock waves prevent growth retardation caused by the clinically used drug vismodegib in ex vivo cultured bones.,2020.0,Scientific reports,FULL_TEXT_VERIFIED,body,"124 ± 15% bone length increase from day 0, respectively; p = 0.002;",,GANT61; vismodegib,mouse,metatarsal organ culture,,True,False,15,,,,True,True,False,False,0.7,False
32770014.0,PMC7414117,10.1038/s41598-020-69904-0,Radial shock waves prevent growth retardation caused by the clinically used drug vismodegib in ex vivo cultured bones.,2020.0,Scientific reports,FULL_TEXT_VERIFIED,body,The graph shows increases in bone length over time from day 0 (%).,,GANT61; vismodegib,mouse,metatarsal organ culture,,True,False,,,,,False,True,False,False,0.0,False
32770014.0,PMC7414117,10.1038/s41598-020-69904-0,Radial shock waves prevent growth retardation caused by the clinically used drug vismodegib in ex vivo cultured bones.,2020.0,Scientific reports,FULL_TEXT_VERIFIED,body,The graph shows increases in bone length from day 0 (%).,,GANT61; vismodegib,mouse,metatarsal organ culture,,True,False,,,,,False,True,False,False,0.0,False
32770014.0,PMC7414117,10.1038/s41598-020-69904-0,Radial shock waves prevent growth retardation caused by the clinically used drug vismodegib in ex vivo cultured bones.,2020.0,Scientific reports,FULL_TEXT_VERIFIED,body,A hypothetical schematic diagram showing how extracorporeal radial shockwave treatment (rSWT) may be administered to low/high growth velocity areas (encircled) selectively to restore vismodegib-induced bone growth impairment in children with medulloblastoma.,vismodegib,GANT61; vismodegib,mouse,metatarsal organ culture,,True,True,,,,,False,True,False,False,0.2,False
32770014.0,PMC7414117,10.1038/s41598-020-69904-0,Radial shock waves prevent growth retardation caused by the clinically used drug vismodegib in ex vivo cultured bones.,2020.0,Scientific reports,FULL_TEXT_VERIFIED,body,Bone growth is expressed as percent bone length increase from day 0.,,GANT61; vismodegib,mouse,metatarsal organ culture,,True,False,,,,,False,True,False,False,0.0,False
32770014.0,PMC7414117,10.1038/s41598-020-69904-0,Radial shock waves prevent growth retardation caused by the clinically used drug vismodegib in ex vivo cultured bones.,2020.0,Scientific reports,FULL_TEXT_VERIFIED,caption,"Rescuing effects of rSWT on vismodegib treated bones (a) Fetal rat metatarsal bones cultured ex-vivo were treated with the Hh-inhibitor vismodegib (100 nM) for 5 days (n = 12; dotted line), a single session of high-energy rSWT (500, 10 Hz, 180 mJ; n = 6), or both (n = 6), and thereafter followed for 15 days. The graph shows increases in bone length over time from day 0 (%). All error bars indicate SD. Two-way ANOVA was applied. (b) Graph shows the increase in the growth velocity on day 15 of control, vismodegib, rSWT, and vismodegib + rSWT treated bones. All error bars indicate SD. Representative images of metatarsal bones stained with Alcian blue; (c) untreated control, (d) vismodegib, (e) rSWT and (f) vismodegib + rSWT. Magnification 10x. (g) height measurements of R + P zone and (h) hypertrophic cell size. Quantification of immunostaining for (i) Gli-1 and (j) Ihh using the ImageJ sof",vismodegib,GANT61; vismodegib,mouse,metatarsal organ culture,,True,True,,,100 nM,12; 6; 6,True,True,False,False,0.7000000000000001,False
32770014.0,PMC7414117,10.1038/s41598-020-69904-0,Radial shock waves prevent growth retardation caused by the clinically used drug vismodegib in ex vivo cultured bones.,2020.0,Scientific reports,FULL_TEXT_VERIFIED,caption,"Rescuing effects of rSWT on GANT61 treated bones (a) Fetal rat metatarsal bones cultured ex-vivo treated with the Hh-inhibitor GANT61 (10 µM; n = 13), a single session of rSWT (500, 10 Hz, 180 mJ; n = 19), or both (n = 21), and followed for 14 days. The graph shows increases in bone length from day 0 (%). All error bars indicate SD. Two-way ANOVA was applied. Representative images of metatarsal growth plates stained with Alcian blue; (b) untreated control, (c) GANT61, (d) rSWT and (e) GANT61 + rSWT. Magnification 10x. (f) Height measurements of R + P zone and (g) hypertrophic cell size. Quantification of immunostaining for (h) PCNA and (i) Gli-1 using the ImageJ software. *p < 0.05, **p < 0.01.",GANT61,GANT61; vismodegib,mouse,metatarsal organ culture,,True,True,,10 µM,10 µM,13; 19; 21,True,True,False,False,0.7000000000000001,False
32770014.0,PMC7414117,10.1038/s41598-020-69904-0,Radial shock waves prevent growth retardation caused by the clinically used drug vismodegib in ex vivo cultured bones.,2020.0,Scientific reports,FULL_TEXT_VERIFIED,caption,A hypothetical schematic diagram showing how extracorporeal radial shockwave treatment (rSWT) may be administered to low/high growth velocity areas (encircled) selectively to restore vismodegib-induced bone growth impairment in children with medulloblastoma.,vismodegib,GANT61; vismodegib,mouse,metatarsal organ culture,,True,True,,,,,False,True,False,False,0.2,False
35287796.0,PMC8923661,10.7554/elife.71931,C-type natriuretic peptide facilitates autonomic Ca<sup>2+</sup> entry in growth plate chondrocytes for stimulating bone growth.,2022.0,eLife,FULL_TEXT_VERIFIED,body,"The bone rudiments prepared from control embryos (Trpm7fl/fl, Col11a2-Cre−/−) regularly elongated during ex vivo culture, and their outgrowth was significantly stimulated by the supplementation with CNP (30 nM) into the culture medium (Figure 7A).",,Ca2+; cGMP,mouse,metatarsal organ culture,E17.5,True,False,,,30 nM,,False,True,False,True,0.1,False
