rule_type,rule,definition,tier,why,status
CONDITION,new biological cohort,"animals from different litters, ideally a different shipment or breeding round",MANDATORY,the original cohort's litter effects are baked into the original estimate; re-analysing the same animals is not replication,NOT YET MEASURED
CONDITION,fresh compound,"a newly purchased lot, ideally from a different supplier, with identity and purity re-checked",MANDATORY,a degraded or mis-identified lot reproduces itself perfectly. This is the cheapest failure mode to exclude and the one most often skipped,NOT YET MEASURED
CONDITION,blinded analysis,arm labels masked from dissection through analysis lock; annotators guess at the end and the guess accuracy is reported,MANDATORY,the same blinding standard as stage 72; a replication analysed unblinded is a confirmation exercise,NOT YET MEASURED
CONDITION,preregistered endpoint definitions unchanged,"the stage-72 definitions file is reused byte-for-byte; no endpoint is added, dropped or redefined",MANDATORY,the single most common way a replication becomes uninformative,NOT YET MEASURED
CONDITION,independent operator,"a different person performs dissection, culture, imaging and annotation",PREFERRED,operator technique is a real variance component in explant culture and microdissection; if the effect only exists in one pair of hands it is an operator effect,NOT YET MEASURED
CONDITION,second postnatal explant model,"a second bone or a second strain - e.g. metatarsal and metacarpal, or a second inbred background","PREFERRED, WHERE FEASIBLE",generalisation beyond one anatomical site; a metatarsal-only effect is a metatarsal result,NOT YET MEASURED
ACCEPTANCE,terminal-cell geometry direction,the height-to-width ratio moves in the SAME direction and the replicate effect size falls within 50-200% of the original point estimate,MANDATORY,"direction alone is too weak - a replication at a quarter of the effect size changes what the compound is. The band is wide because between-cohort variation is real, and it is stated in advance so it cannot be widened afterwards",NOT YET MEASURED
ACCEPTANCE,plateau length direction,"same direction, same 50-200% band",MANDATORY,the endpoint the project is about; geometry replicating without length is a different and lesser result,NOT YET MEASURED
ACCEPTANCE,proliferation preserved,EdU fraction >= 0.85x vehicle in the replicate cohort,MANDATORY,"a guard endpoint that passed once can fail in a new cohort, and that is a real finding rather than noise",NOT YET MEASURED
ACCEPTANCE,survival preserved,TUNEL <= 1.5x vehicle,MANDATORY,same,NOT YET MEASURED
ACCEPTANCE,matrix preserved,"COL2A1, ACAN and extracellular COL10A1 each >= 0.85x vehicle, and the intracellular:extracellular collagen X ratio <= 1.3x",MANDATORY,same,NOT YET MEASURED
ACCEPTANCE,target engagement consistent,the primary engagement marker moves in the terminal zone by an amount within 50-200% of the original,MANDATORY,"engagement that does not replicate means the compound did not arrive or did not work, and the geometry result is then uninterpretable rather than negative",NOT YET MEASURED
ACCEPTANCE,no newly detected deformation,curvature and appositional width within the vehicle band; blinded gross-shape score unchanged,MANDATORY,"a deformation that appears only in the second cohort is the more likely truth, not the outlier",NOT YET MEASURED
ACCEPTANCE,exclusion rate comparable,"explant exclusion rate not more than double the original, and not differential between arms",SUPPORTING,a replication that excluded its way to agreement has not replicated,NOT YET MEASURED
OUTCOME,REPLICATED,every mandatory rule passes,-,the compound reaches INDEPENDENTLY_REPLICATED_EX_VIVO_HIT - the first classification the brief allows to be called 'good enough to seriously consider for further research',NOT YET MEASURED
OUTCOME,REPLICATED_WITH_SMALLER_EFFECT,direction agrees on both primary endpoints but the effect size falls below 50% of the original,-,"not a pass. The original estimate is revised downward, the design is re-powered on the pooled estimate, and a third cohort decides. Reporting the original number afterwards is not permitted",NOT YET MEASURED
OUTCOME,FAILED_TO_REPLICATE,either primary endpoint reverses direction or fails to move,-,"the compound returns to the classification it held before stage 72. The original result is reported as unreplicated, not withdrawn",NOT YET MEASURED
OUTCOME,UNINTERPRETABLE,"target engagement did not replicate, or the assay controls failed",-,the replication says nothing about the compound; it says the experiment did not run. Re-run before drawing any conclusion,NOT YET MEASURED
