mouse_gene,human_gene,crispr_tier,crispr_effect_class,total_score,score_positive,score_penalty,fg_zone_bias,mouse_zone_top,human_zone_top,height_n_loci,tractable_class,blacklist_reasons,desired_intervention_direction
Eif4e2,EIF4E2,A_secondary_validated,KO_blocks_maturation,4.8153,4.8153,0.0,shared,proliferative,proliferative,6.0,small-molecule pocket,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cd200,CD200,A_secondary_validated,KO_blocks_maturation,4.72967,4.72967,0.0,hypertrophic,hypertrophic,hypertrophic,,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Gsk3b,GSK3B,A_secondary_validated,KO_blocks_maturation,4.48895,4.78895,0.3,hypertrophic,proliferative,proliferative,,enzyme; kinase,,"inhibit (delay hypertrophic transition, prolong growth window)"
Nedd4,NEDD4,A_secondary_validated,KO_blocks_maturation,4.45125,4.45125,0.0,proliferative,proliferative,proliferative,8.0,enzyme; ligase,,"inhibit (delay hypertrophic transition, prolong growth window)"
Bmpr2,BMPR2,A_secondary_validated,KO_promotes_maturation,4.37226,5.17226,0.8,hypertrophic,hypertrophic,proliferative,5.0,enzyme; kinase,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Prkar1a,PRKAR1A,A_secondary_validated,KO_blocks_maturation,4.33396,4.33396,0.0,shared,hypertrophic,proliferative,1.0,enzyme; kinase,annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles,"inhibit (delay hypertrophic transition, prolong growth window)"
Ezh2,EZH2,A_secondary_validated,KO_promotes_maturation,4.31292,5.61292,1.3,proliferative,proliferative,proliferative,7.0,epigenetic; transferase,chromatin/epigenetic machinery - broad transcriptional liability; annotated tumour suppressor - unsuitable for chronic paediatric exposure; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ptch1,PTCH1,A_secondary_validated,KO_promotes_maturation,4.28459,5.58459,1.3,proliferative,hypertrophic,proliferative,52.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Runx2,RUNX2,A_secondary_validated,KO_blocks_maturation,4.27046,4.27046,0.0,shared,hypertrophic,proliferative,14.0,small-molecule pocket,,"inhibit (delay hypertrophic transition, prolong growth window)"
Epha2,EPHA2,A_secondary_validated,KO_blocks_maturation,4.21513,4.83656,0.62143,hypertrophic,hypertrophic,resting,,enzyme; kinase,available compounds carry black-box warnings,"inhibit (delay hypertrophic transition, prolong growth window)"
Apc,APC,A_secondary_validated,KO_blocks_maturation,4.12685,4.92685,0.8,hypertrophic,hypertrophic,hypertrophic,6.0,small-molecule pocket,essential in a substantial minority of DepMap screens; multiple curated cancer hallmark roles,"inhibit (delay hypertrophic transition, prolong growth window)"
Krit1,KRIT1,A_secondary_validated,KO_blocks_maturation,4.10522,4.10522,0.0,shared,resting,proliferative,1.0,small-molecule pocket,,"inhibit (delay hypertrophic transition, prolong growth window)"
Pdcd10,PDCD10,A_secondary_validated,KO_blocks_maturation,4.09967,4.09967,0.0,shared,hypertrophic,prehypertrophic,,small-molecule pocket,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tsc2,TSC2,A_secondary_validated,KO_blocks_maturation,4.0504,4.0504,0.0,hypertrophic,hypertrophic,prehypertrophic,7.0,antibody-accessible,multiple curated cancer hallmark roles,"inhibit (delay hypertrophic transition, prolong growth window)"
Kdm1a,KDM1A,A_secondary_validated,KO_blocks_maturation,4.0382,4.0382,0.0,hypertrophic,resting,hypertrophic,,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Brd2,BRD2,A_secondary_validated,KO_blocks_maturation,3.94006,4.74006,0.8,shared,resting,hypertrophic,3.0,epigenetic,essential in a substantial minority of DepMap screens; chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Mast3,MAST3,A_secondary_validated,KO_blocks_maturation,3.90176,3.92319,0.02143,shared,hypertrophic,prehypertrophic,1.0,enzyme; kinase,,"inhibit (delay hypertrophic transition, prolong growth window)"
Lgr4,LGR4,A_secondary_validated,KO_promotes_maturation,3.88053,4.68053,0.8,proliferative,hypertrophic,proliferative,1.0,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Alad,ALAD,A_secondary_validated,KO_blocks_maturation,3.87763,3.87763,0.0,shared,resting,resting,3.0,enzyme; lyase,,"inhibit (delay hypertrophic transition, prolong growth window)"
Smurf2,SMURF2,A_secondary_validated,KO_promotes_maturation,3.60416,4.40416,0.8,shared,hypertrophic,perichondrium,6.0,enzyme; transferase,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Dcp2,DCP2,A_secondary_validated,KO_promotes_maturation,3.51127,4.31127,0.8,proliferative,hypertrophic,proliferative,3.0,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ctbp1,CTBP1,A_secondary_validated,KO_promotes_maturation,3.5016,4.3016,0.8,shared,resting,resting,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Unc5b,UNC5B,A_secondary_validated,KO_promotes_maturation,3.46416,4.26416,0.8,hypertrophic,hypertrophic,hypertrophic,2.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Kdelr2,KDELR2,A_secondary_validated,KO_blocks_maturation,3.44683,3.44683,0.0,proliferative,hypertrophic,proliferative,4.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Rbpj,RBPJ,A_secondary_validated,KO_promotes_maturation,3.43253,4.23253,0.8,shared,resting,resting,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Emsy,EMSY,A_secondary_validated,KO_blocks_maturation,3.42758,3.42758,0.0,,,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Brd4,,A_secondary_validated,KO_blocks_maturation,3.42079,3.42079,0.0,hypertrophic,resting,,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Bambi,BAMBI,A_secondary_validated,KO_promotes_maturation,3.37015,4.17015,0.8,hypertrophic,hypertrophic,hypertrophic,2.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Smad6,SMAD6,A_secondary_validated,KO_promotes_maturation,3.35759,4.15759,0.8,shared,hypertrophic,hypertrophic,9.0,,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Swi5,SWI5,A_secondary_validated,KO_blocks_maturation,3.33849,3.33849,0.0,proliferative,hypertrophic,prehypertrophic,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Det1,DET1,A_secondary_validated,KO_blocks_maturation,3.32518,3.32518,0.0,proliferative,hypertrophic,perichondrium,4.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Vti1a,VTI1A,A_secondary_validated,KO_blocks_maturation,3.32333,3.32333,0.0,hypertrophic,hypertrophic,resting,5.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Commd6,COMMD6,A_secondary_validated,KO_blocks_maturation,3.30677,3.30677,0.0,shared,proliferative,proliferative,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Mtmr3,MTMR3,A_secondary_validated,KO_blocks_maturation,3.30305,3.30305,0.0,shared,resting,prehypertrophic,4.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Pibf1,PIBF1,A_secondary_validated,KO_promotes_maturation,3.29477,4.49477,1.2,shared,proliferative,proliferative,2.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Wbp1l,WBP1L,A_secondary_validated,KO_blocks_maturation,3.28126,3.28126,0.0,hypertrophic,hypertrophic,perichondrium,5.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Gramd1a,GRAMD1A,A_secondary_validated,KO_blocks_maturation,3.27818,3.27818,0.0,shared,resting,proliferative,1.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Traf3,TRAF3,A_secondary_validated,KO_blocks_maturation,3.27095,3.27095,0.0,proliferative,proliferative,hypertrophic,2.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Afdn,AFDN,A_secondary_validated,KO_promotes_maturation,3.25148,4.05148,0.8,,,,1.0,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Acvr1,ACVR1,A_secondary_validated,KO_promotes_maturation,3.24686,5.14686,1.9,shared,resting,proliferative,1.0,enzyme; kinase,mouse phenotype includes growth-plate disorganisation/fusion/dwarfism; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Sufu,SUFU,A_secondary_validated,KO_promotes_maturation,3.2284,4.5284,1.3,shared,hypertrophic,perichondrium,5.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Cdyl,CDYL,A_secondary_validated,KO_promotes_maturation,3.17665,3.97665,0.8,shared,resting,prehypertrophic,1.0,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Sox9,SOX9,A_secondary_validated,KO_blocks_maturation,3.16774,3.16774,0.0,proliferative,resting,proliferative,,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Pitrm1,PITRM1,A_secondary_validated,KO_blocks_maturation,3.15215,3.95215,0.8,shared,proliferative,proliferative,3.0,enzyme,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Ccm2,CCM2,A_secondary_validated,KO_blocks_maturation,3.11881,3.11881,0.0,hypertrophic,proliferative,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Vps37c,VPS37C,A_secondary_validated,KO_blocks_maturation,3.10135,3.10135,0.0,shared,resting,perichondrium,2.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Wdpcp,WDPCP,A_secondary_validated,KO_promotes_maturation,3.06216,3.86216,0.8,shared,resting,perichondrium,1.0,antibody-accessible,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Chd8,CHD8,A_secondary_validated,KO_blocks_maturation,3.05153,3.85153,0.8,shared,resting,hypertrophic,8.0,enzyme; hydrolase,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Commd5,COMMD5,A_secondary_validated,KO_blocks_maturation,3.03887,3.03887,0.0,shared,proliferative,resting,1.0,,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tjap1,TJAP1,A_secondary_validated,KO_blocks_maturation,3.03182,3.03182,0.0,shared,proliferative,resting,,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Arnt,ARNT,A_secondary_validated,KO_promotes_maturation,3.00159,4.72302,1.72143,shared,resting,resting,1.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Atp2b1,ATP2B1,A_secondary_validated,KO_blocks_maturation,2.98204,2.98204,0.0,shared,resting,prehypertrophic,1.0,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Kif3b,KIF3B,A_secondary_validated,KO_promotes_maturation,2.97425,3.77425,0.8,shared,hypertrophic,proliferative,,small-molecule pocket,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
