endpoint,family,method,feeds_tier,timepoints,what_failure_looks_like,distinguishes_phenotypes,replicate_unit,blinded,substitute_for_length
daily absolute elongation,growth,"calibrated daily imaging, stage-51 pipeline",TIER 1,daily,"no change, or a change below the assay SDC",A vs B vs F,explant from an independent animal (bone nested within animal),True,False
post-washout plateau length,growth,culture to growth cessation after withdrawal,TIER 4,late recovery,plateau equal to or below vehicle,A vs B vs F,explant from an independent animal (bone nested within animal),True,False
recovery growth velocity,growth,"daily rate after withdrawal, vs vehicle over the same days",TIER 4,recovery; late recovery,rate falls below vehicle,A vs F,explant from an independent animal (bone nested within animal),True,False
resting-zone cell number,resting/proliferative,stereological count on serial sections,TIER 3,immediate post; late recovery,reserve depleted,A vs C,explant from an independent animal (bone nested within animal),True,False
PTHrP-positive cell number,resting/proliferative,"PTHLH immunostaining, counted",TIER 3,immediate post; late recovery,functional reserve falls,A vs C,explant from an independent animal (bone nested within animal),True,False
active column number,resting/proliferative,columns with >=3 flattened chondrocytes per plate width,TIER 3,baseline; during exposure; immediate post; recovery; late recovery,throughput falls,A vs C,explant from an independent animal (bone nested within animal),True,False
newly initiated columns,resting/proliferative,columns founded during the labelling window,TIER 3,during exposure; recovery,recruitment falls,A vs C,explant from an independent animal (bone nested within animal),True,False
EdU / BrdU index,resting/proliferative,"pulse, zone-resolved",TIER 2,baseline; during exposure; immediate post; recovery; late recovery,proliferation falls - the bafilomycin signature,A vs trade-off,explant from an independent animal (bone nested within animal),True,False
cells per column,resting/proliferative,counted along the column axis,TIER 3,immediate post,column productivity falls while length rises,A vs B,explant from an independent animal (bone nested within animal),True,False
proliferative-zone height,resting/proliferative,zone-resolved morphometry,TIER 2,baseline; during exposure; immediate post; recovery; late recovery,shrinks while the hypertrophic zone expands,A vs B,explant from an independent animal (bone nested within animal),True,False
terminal-cell height,hypertrophic output,last hypertrophic cell per column,TIER 3,immediate post; late recovery,unchanged while length rises,A vs B,explant from an independent animal (bone nested within animal),True,False
terminal-cell width,hypertrophic output,same series,TIER 3,immediate post,widening without axial gain is not elongation,A vs B,explant from an independent animal (bone nested within animal),True,False
terminal-cell volume,hypertrophic output,"height x width, ellipsoid approximation",TIER 3,immediate post; late recovery,volume flat while length rises,A vs B,explant from an independent animal (bone nested within animal),True,False
hypertrophic-zone height,hypertrophic output,zone-resolved morphometry,TIER 3,baseline; during exposure; immediate post; recovery; late recovery,expands only by consuming the proliferative zone,A vs B,explant from an independent animal (bone nested within animal),True,False
matrix-domain height per terminal cell,hypertrophic output,measured with the volume series,TIER 3,immediate post,cell swelling with no matrix - not durable,A vs B,explant from an independent animal (bone nested within animal),True,False
COL10A1,hypertrophic output,immunostaining and transcript,descriptive,baseline; during exposure; immediate post; recovery; late recovery,domain moves up the plate - premature maturation,B,explant from an independent animal (bone nested within animal),True,False
RUNX2,hypertrophic output,immunostaining,descriptive,baseline; during exposure; immediate post; recovery; late recovery,,B,explant from an independent animal (bone nested within animal),True,False
