rank,reagent,category,target,speed,speed_reason,mechanism,mechanism_reason,selectivity,selectivity_reason,penetration,penetration_reason,safety,safety_reason,blocking_step,status,category_name,rank_by_speed,rank_by_mechanism,rank_by_selectivity,rank_by_penetration,rank_by_safety,exists_today
1,CNP (positive control),C,NPR2,5,commercially standard peptide,5,direct receptor agonist; the pathway's own ligand,4,"NPR2 agonist, also binds NPR3",4,small peptide,3,not a therapeutic candidate here; it is the benchmark,none,"ORDERABLE NOW - control, not a candidate",recombinant natural ligand,1,1,3,3,2,True
2,cANP(4-23) (wrong-direction control),A,NPR3,5,standard research peptide,4,"NPR3-selective AGONIST - occupies the receptor without preserving ligand, which is exactly what makes it informative",4,NPR3-selective by reputation and use,4,small peptide,1,WRONG DIRECTION as a therapeutic; it is a control only,none,ORDERABLE NOW - wrong-direction control,existing sequence-defined reagent,1,5,3,3,10,True
3,M372049 (AZ12107657),B,NPR3,5,"a defined small molecule with a PubChem entry (CID 59787819), a published synthesis paper, and documented in vivo mouse use. Nothing has to be discovered or designed",3,described as an NPR-C antagonist; the retrieved text does not distinguish occupancy from internalisation blockade from Gi antagonism,3,"NPR-C-directed by design, but no NPR2 counter-screen was retrieved, and NPR2 is the receptor the mechanism depends on",4,"887 Da - the smallest non-peptide agent in the set, and size is the constraint through avascular matrix",2,NPR3 blockade is haemodynamic by construction; stage 93's only HIGH-concern pair,obtain or synthesise material; establish an explant concentration by range-finding,ORDERABLE OR SYNTHESISABLE NOW,existing in vivo reagent,1,6,9,3,5,True
4,wild-type recombinant PAPP-A,C,IGFBP-4 cleavage,4,a recombinant protein others have expressed and assayed; no discovery needed,5,"the clearest mechanism in the set - add protease, cleave IGFBP-4, release IGF. It is the axis's positive control",4,a highly specific enzyme with few known substrates,1,~400 kDa disulfide-linked homodimer; the least likely agent in the programme to cross 100 um of matrix,2,"raises free IGF, the axis's dominant liability",express or source active enzyme; verify activity on INTACT IGFBP-4,EXPRESSIBLE NOW,recombinant natural ligand,4,1,3,9,5,True
5,compound 23,A,NPR3,4,"sequence-defined and synthesisable by standard solid-phase chemistry; stage 96 reconstructed the full sequence, but the five parent-ANP positions are DERIVED and need one confirmation against the paywalled paper before synthesis",3,abstract calls it a blocker and attributes NP clearance to NPR3 endocytosis; occupancy versus internalisation blockade is unresolved,4,"selectivity over NPR1 is asserted in the abstract; NPR2 is never mentioned, which is the gap that matters",5,"~1.3 kDa, the smallest agent in the programme",2,same axis as M372049,"confirm the five DERIVED positions against PMID 28596054, then synthesise; range-find",SYNTHESISABLE AFTER ONE CONFIRMATION,existing sequence-defined reagent,4,6,3,1,5,True
6,osteocrin / musclin,C,NPR3,4,"an endogenous human protein with a UniProt sequence (P61366); recombinant expression is routine, and no discovery is needed",3,endogenous NPR3 ligand competing for clearance; which fragment carries the binding was not established from retrievable text,3,a natural ligand of the receptor family; cross-reactivity with NPR1/NPR2 not established here,3,~13 kDa mature peptide,3,"endogenous, so leakage delivers a physiological ligand rather than a foreign molecule - but the same haemodynamic axis",express and purify; establish which construct is active,EXPRESSIBLE NOW,recombinant natural ligand,4,6,9,6,2,True
7,PAPP-A C732A,D,IGFBP-4 cleavage,3,"a single point mutant of a protein others express - straightforward molecular biology, but it must be made and characterised",2,"PREDICTED to fail as a resistance strategy: STC2 C120A cannot bind covalently and still inhibits competitively, so C732A is expected to be reversibly inhibited rather than resistant",4,as wild-type,1,as wild-type,2,as wild-type,express; then measure cleavage of INTACT IGFBP-4 and STC2 inhibition kinetics - it may NOT be called active until then,"MAKEABLE NOW, MECHANISM PREDICTED TO FAIL",engineered protein variant,7,10,3,9,5,True
8,WYRGRL-compound 23 conjugate,F,"NPR3, targeted",2,"both parts are synthesisable, but the conjugation chemistry is unresolved",3,as compound 23,4,as compound 23,5,"~2.2 kDa, the smallest targeted construct",3,targeting reduces the haemodynamic exposure,"BLOCKED - compound 23 is capped at both termini by design, so no conjugation handle is known; this must be solved before synthesis",BLOCKED ON CHEMISTRY,new targeted fusion requiring development,8,6,3,1,2,False
9,anti-STC2 nanobody,E,STC2,1,"requires a full discovery campaign: library, selection, screening cascade, counter-screens. Months to years before an explant experiment",5,"the cleanest mechanism available - relieve inhibition of PAPP-A, restoring cleavage of intact IGFBP-4, which is exactly the direction the human STC2 allele points",5,"a single named protein-protein interface, with a defined counter-screen against the wrong-direction failure mode",3,~15 kDa single domain,2,raises local free IGF; proliferation is the dominant liability,the entire stage 99 campaign,DOES NOT EXIST,new binder requiring discovery,9,1,1,6,5,False
10,scFv-anti-STC2 nanobody fusion,F,"STC2, targeted",1,"requires the nanobody to exist first, then fusion design, expression, linker optimisation and biodistribution",5,"as the nanobody, plus localisation",5,as the nanobody,3,~42 kDa; anchor and target share a compartment,4,the only design with a measured precedent for reducing a systemic toxicity while retaining growth-plate activity,"stage 99 campaign, then stage 100 fusion development",DOES NOT EXIST,new targeted fusion requiring development,9,1,1,6,1,False
