arm,arm_role,arm_rationale,concentration_basis,schedule,schedule_definition,schedule_purpose,timepoints,primary_endpoint
vehicle,baseline,matched vehicle and matched washout control,n/a,continuous,drug present for the whole 6-day culture,reproduces the published design,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
vehicle,baseline,matched vehicle and matched washout control,n/a,short pulse + washout,"24-48 h exposure, then drug-free medium to day 6",THE decisive arm — no published experiment has run it,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
vehicle,baseline,matched vehicle and matched washout control,n/a,repeated intermittent pulse,"24 h on / 48 h off, repeated",tests whether repeated stimulation accumulates or exhausts,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
vehicle,baseline,matched vehicle and matched washout control,n/a,vehicle + washout,matched medium changes without drug,controls for the medium change itself,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
bafilomycin A1,index mechanistic probe,reproduce the published effect,"8 nM — as published, PMID 26259639",continuous,drug present for the whole 6-day culture,reproduces the published design,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
bafilomycin A1,index mechanistic probe,reproduce the published effect,"8 nM — as published, PMID 26259639",short pulse + washout,"24-48 h exposure, then drug-free medium to day 6",THE decisive arm — no published experiment has run it,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
bafilomycin A1,index mechanistic probe,reproduce the published effect,"8 nM — as published, PMID 26259639",repeated intermittent pulse,"24 h on / 48 h off, repeated",tests whether repeated stimulation accumulates or exhausts,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
bafilomycin A1,index mechanistic probe,reproduce the published effect,"8 nM — as published, PMID 26259639",vehicle + washout,matched medium changes without drug,controls for the medium change itself,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
chloroquine,orthogonal lysosomal probe,"unrelated chemotype, same axis","30 uM — as published, PMID 26259639",continuous,drug present for the whole 6-day culture,reproduces the published design,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
chloroquine,orthogonal lysosomal probe,"unrelated chemotype, same axis","30 uM — as published, PMID 26259639",short pulse + washout,"24-48 h exposure, then drug-free medium to day 6",THE decisive arm — no published experiment has run it,during exposure; immediately after washout; after a recovery interval,absolute longitudinal bone-length gain
