arm,agent,target,direction,concentration_basis,role,concentration_stated,blocked_pending_range_finding
vehicle,assay buffer alone,—,—,not applicable,reference distribution for every endpoint,True,False
isotype / inactive control,"isotype-matched non-binding antibody, and heat-inactivated enzyme for the augmentation arms",—,—,matched to the active arm it controls,separates the effect of the agent from the effect of adding protein to the medium at all,True,False
STC2 neutralisation,anti-STC2 antibody or STC2-blocking fragment (reagent to be sourced),STC2 : PAPP-A interface,relieve inhibition of PAPP-A,RANGE_UNDETERMINED - no measured potency exists; stage 90 found zero ChEMBL activities for STC2,tests the human allelic direction directly - this is the arm the whole branch exists to run,False,True
PAPP-A augmentation,active recombinant PAPP-A protein,IGFBP-4 cleavage,add protease activity directly,RANGE_UNDETERMINED - must be set from measured IGFBP-4 cleavage activity of the specific lot,"positive control for the axis: if adding the enzyme does nothing, relieving its inhibitor cannot work either",False,True
PAPP-A2 augmentation,active recombinant PAPP-A2 protein,IGFBP-3 and IGFBP-5 cleavage,add the OTHER pappalysin's activity,RANGE_UNDETERMINED - must be set from measured IGFBP-3/-5 cleavage activity of the specific lot,"kept as a separate arm because stage 89 established these two enzymes are not interchangeable - different substrates, different human deficiency phenotype. Running one and inferring the other would undo that finding",False,True
IGF-I benchmark,recombinant IGF-I,IGF1R,saturate the pathway's output directly,RANGE_UNDETERMINED - must be set from a measured p-IGF1R or p-AKT response in this explant system,"the ceiling. Tells us how much of the achievable effect the axis arms actually capture, and whether the axis is worth pursuing over simply supplying ligand",False,True
IGF1R blockade (epistasis),"IGF1R-blocking antibody or inhibitor, alone and combined with STC2 neutralisation",IGF1R,block the axis's output,RANGE_UNDETERMINED,"the epistasis test. If STC2 neutralisation works THROUGH released IGF, IGF1R blockade must abolish it. If the effect survives, the mechanism attributed in stages 89-91 is wrong and must be said to be wrong",False,True
PAPP-A inhibition (directional control),a PAPP-A-inhibiting reagent,PAPP-A active site,WRONG DIRECTION - deliberately,RANGE_UNDETERMINED,"NEGATIVE-DIRECTION control. If the axis is what stages 89-91 say, this arm should SHORTEN. An axis that cannot be pushed backwards has not been shown to be an axis",False,True
PAPP-A2 inhibition (directional control),a PAPP-A2-inhibiting reagent,PAPP-A2 active site,WRONG DIRECTION - deliberately,RANGE_UNDETERMINED,"the same falsification test for the second enzyme, separately",False,True
NPR3 blockade,NPR3-directed antibody or ligand-pocket antagonist (reagent to be sourced),NPR3 clearance pocket,reduce local CNP clearance,RANGE_UNDETERMINED - ChEMBL holds 230 activities against NPR3 but none is a named compound; a specific reagent's potency must be measured before a concentration exists,tests the second gene that met all four requirements in stage 91,False,True
CNP,C-type natriuretic peptide,NPR2,agonise the receptor NPR3 clearance opposes,RANGE_UNDETERMINED - must be set from a measured cGMP response in this explant system,positive control for the natriuretic arm and the comparator with clinical precedent,False,True
