mouse_gene,human_gene,crispr_tier,crispr_effect_class,total_score,score_positive,score_penalty,fg_zone_bias,mouse_zone_top,human_zone_top,height_n_loci,tractable_class,blacklist_reasons,desired_intervention_direction
Eif4e2,EIF4E2,A_secondary_validated,KO_blocks_maturation,4.8152959775570245,4.8152959775570245,0.0,shared,proliferative,proliferative,6.0,small-molecule pocket,,"inhibit (delay hypertrophic transition, prolong growth window)"
Cd200,CD200,A_secondary_validated,KO_blocks_maturation,4.663003650223871,4.663003650223871,0.0,hypertrophic,hypertrophic,hypertrophic,,antibody-accessible,,"inhibit (delay hypertrophic transition, prolong growth window)"
Gsk3b,GSK3B,A_secondary_validated,KO_blocks_maturation,4.488949249416775,4.788949249416775,0.3,hypertrophic,proliferative,proliferative,,enzyme; kinase,,"inhibit (delay hypertrophic transition, prolong growth window)"
Nedd4,NEDD4,A_secondary_validated,KO_blocks_maturation,4.38457837704955,4.38457837704955,0.0,proliferative,proliferative,proliferative,8.0,enzyme; ligase,,"inhibit (delay hypertrophic transition, prolong growth window)"
Prkar1a,PRKAR1A,A_secondary_validated,KO_blocks_maturation,4.33395972561814,4.33395972561814,0.0,shared,hypertrophic,proliferative,1.0,enzyme; kinase,annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles,"inhibit (delay hypertrophic transition, prolong growth window)"
Bmpr2,BMPR2,A_secondary_validated,KO_promotes_maturation,4.305591948358864,5.105591948358864,0.8,hypertrophic,hypertrophic,proliferative,5.0,enzyme; kinase,,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ptch1,PTCH1,A_secondary_validated,KO_promotes_maturation,4.284587055631974,5.584587055631974,1.3,proliferative,hypertrophic,proliferative,52.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ezh2,EZH2,A_secondary_validated,KO_promotes_maturation,4.246249943076871,5.54624994307687,1.3,proliferative,proliferative,proliferative,7.0,epigenetic; transferase,chromatin/epigenetic machinery - broad transcriptional liability; annotated tumour suppressor - unsuitable for chronic paediatric exposure; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Epha2,EPHA2,A_secondary_validated,KO_blocks_maturation,4.215132612035411,4.836561183463983,0.6214285714285714,hypertrophic,hypertrophic,resting,,enzyme; kinase,available compounds carry black-box warnings,"inhibit (delay hypertrophic transition, prolong growth window)"
Runx2,RUNX2,A_secondary_validated,KO_blocks_maturation,4.203797963999023,4.203797963999023,0.0,shared,hypertrophic,proliferative,14.0,small-molecule pocket,,"inhibit (delay hypertrophic transition, prolong growth window)"
Apc,APC,A_secondary_validated,KO_blocks_maturation,4.1268507038139,4.9268507038139,0.8,hypertrophic,hypertrophic,hypertrophic,6.0,small-molecule pocket,essential in a substantial minority of DepMap screens; multiple curated cancer hallmark roles,"inhibit (delay hypertrophic transition, prolong growth window)"
Krit1,KRIT1,A_secondary_validated,KO_blocks_maturation,4.105224361094122,4.105224361094122,0.0,shared,resting,proliferative,1.0,small-molecule pocket,,"inhibit (delay hypertrophic transition, prolong growth window)"
Pdcd10,PDCD10,A_secondary_validated,KO_blocks_maturation,4.099665148635642,4.099665148635642,0.0,shared,hypertrophic,prehypertrophic,,small-molecule pocket,,"inhibit (delay hypertrophic transition, prolong growth window)"
Tsc2,TSC2,A_secondary_validated,KO_blocks_maturation,4.050398145374468,4.050398145374468,0.0,hypertrophic,hypertrophic,prehypertrophic,7.0,antibody-accessible,multiple curated cancer hallmark roles,"inhibit (delay hypertrophic transition, prolong growth window)"
Kdm1a,KDM1A,A_secondary_validated,KO_blocks_maturation,4.038201260374418,4.038201260374418,0.0,hypertrophic,resting,hypertrophic,,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Brd2,BRD2,A_secondary_validated,KO_blocks_maturation,3.940057465404877,4.740057465404877,0.8,shared,resting,hypertrophic,3.0,epigenetic,essential in a substantial minority of DepMap screens; chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Mast3,MAST3,A_secondary_validated,KO_blocks_maturation,3.901761871572943,3.923190443001514,0.0214285714285714,shared,hypertrophic,prehypertrophic,1.0,enzyme; kinase,,"inhibit (delay hypertrophic transition, prolong growth window)"
