protein,feature,function,evidence_kw,overlaps_substrate,supporting_text,evidence_basis,source,source_id
PAPP-A,C732 (M2 domain),forms the interchain disulfide with STC2 C120 - the covalent link,C732,False,"tation of the CD (red, active site cleft facing left) and domains M1-4 (cyan), showing the positions of inter-strand loops of M2 relative to the active site cleft within the PAPP-A·STC2 complex. c Cartoon representation showing the M1 and M2 domains, one STC2 subunit, and the disulfide bond between C732 of M2 and C120 of STC2, which is responsible for covalent linkage between PAPP-A and STC2. Inset shows map around the C120-C732 disulfide bond. T",MEASURED - value read from retrieved full text,Structure of the proteolytic enzyme PAPP-A with the endogenous inhibitor stanniocalcin-2 reveals its inhibitory mechanism,PMC9579167
PAPP-A,C domain exosite,binds STC2 noncovalently AND is the IGFBP-4 substrate-binding exosite - the two overlap,substrate-binding exosite,True,"ot cleave the used 26-residue peptide 43 . (2) Structural and biochemical data show that STC2 binds to the PAPP-A C domain, and that removal of Ca 2+ from LNR3 diminishes its binding. We demonstrate that IGFBP-4 has an overlapping binding site in the C domain, consequently defining this region as a substrate-binding exosite, and STC2 as an exosite inhibitor. The previously identified inhibitory monoclonal antibody, PA141 36 , also binds to this r",MEASURED - value read from retrieved full text,Structure of the proteolytic enzyme PAPP-A with the endogenous inhibitor stanniocalcin-2 reveals its inhibitory mechanism,PMC9579167
PAPP-A,"Y1566, T1594, K1592",hydrophobic pocket receiving STC2 V63 (van der Waals),Y1566,True,"7 σ. c The interface between STC2 and the PAPP-A C domain. Basic residues of STC2 positioned favorably for electrostatic interaction with the negative charge surrounding the Ca 2+ ion of LNR3 are indicated. Residues likely to be involved in van der Waal interactions are also indicated (V63 of STC2; Y1566, T1594, and K1592 of PAPP-A). Note that STC2 residues interact with the C domain of the PAPP-A subunit to which the opposite STC2 subunit is dis",MEASURED - value read from retrieved full text,Structure of the proteolytic enzyme PAPP-A with the endogenous inhibitor stanniocalcin-2 reveals its inhibitory mechanism,PMC9579167
PAPP-A,LNR3 Ca2+ site (C domain),electrostatic partner for basic STC2 residues; removing Ca2+ from LNR3 diminishes STC2 binding - but LNR Ca2+ disruption also abolishes IGFBP-4 cleavage,LNR3,True,"es. Fig. 1 Modular structure of the 1546-residue PAPP-A (pappalysin-1) subunit. Approximate domain boundaries and the cysteine residue responsible for PAPP-A dimerization are indicated. Note that two Lin12-Notch repeat (LNR) modules (LNR1-2) are inserted into the catalytic domain (CD), and a third (LNR3) is present as part of the C domain. No sequence similarity has been detected for the central region of 500 residues, which is designated M. The ",MEASURED - value read from retrieved full text,Structure of the proteolytic enzyme PAPP-A with the endogenous inhibitor stanniocalcin-2 reveals its inhibitory mechanism,PMC9579167
PAPP-A,SCR3-4,"binds cell-surface glycosaminoglycan, localising the enzyme where IGF is released",glycosaminoglycan,False,"talytic domain (CD), and a third (LNR3) is present as part of the C domain. No sequence similarity has been detected for the central region of 500 residues, which is designated M. The short consensus repeats (SCR) are also known as CCP domains. PAPP-A promotes IGF signaling by binding via SCR3-4 to glycosaminoglycan (GAG), present at the cell surface. This allows proteolytic release of IGF in close proximity to the IGF receptor. In addition to th",MEASURED - value read from retrieved full text,Structure of the proteolytic enzyme PAPP-A with the endogenous inhibitor stanniocalcin-2 reveals its inhibitory mechanism,PMC9579167
PAPP-A,active-site Zn2+ cleft,catalysis; NOT occupied by STC2,active site cleft is not occupied,False,"rted LNR modules (see below) are present on the same face of the CD, but lie above the active site cleft (Fig. 4a ). Previous data have demonstrated that the PAPP-A·STC2 complex is completely inactive toward IGFBP-4 21 , the main substrate of PAPP-A 32 , but surprisingly, the structure reveals that active site cleft is not occupied. Concordantly, a synthetic 26-residue peptide derived from IGFBP-4 (L(118)QKHFAKIRDRSTSGGKMKVNGAPRE(143)), which spa",MEASURED - value read from retrieved full text,Structure of the proteolytic enzyme PAPP-A with the endogenous inhibitor stanniocalcin-2 reveals its inhibitory mechanism,PMC9579167
PAPP-A,dimerisation cysteine,covalent PAPP-A homodimer,responsible for PAPP-A dimerization,False,"s the best characterized, and together with mirolysin (31 kDa) from T. forsythia 13 , the only members of the pappalysin family with known three-dimensional structures. Fig. 1 Modular structure of the 1546-residue PAPP-A (pappalysin-1) subunit. Approximate domain boundaries and the cysteine residue responsible for PAPP-A dimerization are indicated. Note that two Lin12-Notch repeat (LNR) modules (LNR1-2) are inserted into the catalytic domain (CD)",MEASURED - value read from retrieved full text,Structure of the proteolytic enzyme PAPP-A with the endogenous inhibitor stanniocalcin-2 reveals its inhibitory mechanism,PMC9579167
STC2,C120,forms the interchain disulfide with PAPP-A C732,C120,False,"ce similarity with any other human proteins. Except for PAPP-A2, no other target proteinases of the STCs have been identified 20 . STC1 is a competitive PAPP-A inhibitor (K i = 68 pM) 20 , while STC2 inhibits irreversibly via a disulfide bond formed between an unknown cysteine residue of PAPP-A and C120 of STC2, which has no counterpart in STC1 21 . Common metzincin inhibitors do not inhibit PAPP-A, but PAPP-A circulates during human pregnancy at",MEASURED - value read from retrieved full text,Structure of the proteolytic enzyme PAPP-A with the endogenous inhibitor stanniocalcin-2 reveals its inhibitory mechanism,PMC9579167
STC2,V63,van der Waals into the PAPP-A hydrophobic pocket,V63,False,"contoured at 7 σ. c The interface between STC2 and the PAPP-A C domain. Basic residues of STC2 positioned favorably for electrostatic interaction with the negative charge surrounding the Ca 2+ ion of LNR3 are indicated. Residues likely to be involved in van der Waal interactions are also indicated (V63 of STC2; Y1566, T1594, and K1592 of PAPP-A). Note that STC2 residues interact with the C domain of the PAPP-A subunit to which the opposite STC2 s",MEASURED - value read from retrieved full text,Structure of the proteolytic enzyme PAPP-A with the endogenous inhibitor stanniocalcin-2 reveals its inhibitory mechanism,PMC9579167
STC2,K104 and other basic residues,electrostatic interaction with the negative charge around the LNR3 Ca2+ ion,K104,False,"omain (Supplementary Fig. 16 ), including electrostatic interactions between the C domain and four basic residues of STC2, and via van der Waal interactions between STC2 V63 and a hydrophobic pocket formed by PAPP-A residues Y1566, T1594, and K1592 (Fig. 7c , Supplementary Fig. 17 ). In particular, K104 is positioned favorably for interaction with the negative charge surrounding the Ca 2+ ion of LNR3. These regions of PAPP-A-STC2 interactions app",MEASURED - value read from retrieved full text,Structure of the proteolytic enzyme PAPP-A with the endogenous inhibitor stanniocalcin-2 reveals its inhibitory mechanism,PMC9579167
