arm,chemical_class,is_independent_probe,endpoint_order,endpoint,method,unit,applicable,note,concentration_basis
vehicle,—,False,1,tissue penetration,labelled reagent or LC-MS on microdissected zones,detected / not detected,False,no reagent to detect; vehicle defines assay background,not applicable
vehicle,—,False,2,terminal-zone concentration,LC-MS/MS on the microdissected terminal hypertrophic zone,pg per zone,False,no reagent to detect; vehicle defines assay background,not applicable
vehicle,—,False,3,NPR3 occupancy or internalisation,"labelled-ligand competition on the tissue, or measurement of receptor-mediated uptake of labelled CNP",fraction occupied / uptake rate,False,no reagent to detect; vehicle defines assay background,not applicable
vehicle,—,False,4,local CNP concentration,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the whole premise - if blocking clearance does not raise local CNP, nothing downstream is this mechanism",not applicable
vehicle,—,False,5,cGMP,immunoassay on zone lysate,pmol per mg protein,True,signalling; but cGMP alone does not identify WHICH receptor,not applicable
vehicle,—,False,6,NPR2 / PKG signalling,"phospho-VASP or PKG substrate phosphorylation, zone-resolved",ratio,True,attribution of the cGMP rise to NPR2 specifically,not applicable
vehicle,—,False,7,daily elongation,calibrated imaging at fixed timepoints,micrometres per day,True,the primary claim,not applicable
vehicle,—,False,8,EdU incorporation,"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,whether length came from proliferation or from cell size,not applicable
vehicle,—,False,9,terminal-cell dimensions,"3D confocal, axis-registered, PSF-matched; height, width and their ratio",micrometres / dimensionless,True,whether elongation is axial or isotropic swelling,not applicable
vehicle,—,False,10,matrix,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,whether the longer plate is structurally sound,not applicable
vehicle,—,False,11,TUNEL,"TUNEL or cleaved caspase-3, zone-resolved",fraction of nuclei,True,whether length came from terminal cells failing to die on schedule,not applicable
vehicle,—,False,12,washout plateau,extended culture past reagent removal,micrometres,True,whether the gain is durable or merely earlier,not applicable
scrambled / inactive peptide,peptide (inactive),False,1,tissue penetration,labelled reagent or LC-MS on microdissected zones,detected / not detected,True,everything - a negative without penetration is uninterpretable,matched to compound 23
scrambled / inactive peptide,peptide (inactive),False,2,terminal-zone concentration,LC-MS/MS on the microdissected terminal hypertrophic zone,pg per zone,True,every efficacy endpoint,matched to compound 23
scrambled / inactive peptide,peptide (inactive),False,3,NPR3 occupancy or internalisation,"labelled-ligand competition on the tissue, or measurement of receptor-mediated uptake of labelled CNP",fraction occupied / uptake rate,True,expected to show no occupancy; this is what makes the occupancy assay interpretable for compound 23,matched to compound 23
scrambled / inactive peptide,peptide (inactive),False,4,local CNP concentration,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the whole premise - if blocking clearance does not raise local CNP, nothing downstream is this mechanism",matched to compound 23
scrambled / inactive peptide,peptide (inactive),False,5,cGMP,immunoassay on zone lysate,pmol per mg protein,True,signalling; but cGMP alone does not identify WHICH receptor,matched to compound 23
scrambled / inactive peptide,peptide (inactive),False,6,NPR2 / PKG signalling,"phospho-VASP or PKG substrate phosphorylation, zone-resolved",ratio,True,attribution of the cGMP rise to NPR2 specifically,matched to compound 23
scrambled / inactive peptide,peptide (inactive),False,7,daily elongation,calibrated imaging at fixed timepoints,micrometres per day,True,the primary claim,matched to compound 23
scrambled / inactive peptide,peptide (inactive),False,8,EdU incorporation,"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,whether length came from proliferation or from cell size,matched to compound 23
scrambled / inactive peptide,peptide (inactive),False,9,terminal-cell dimensions,"3D confocal, axis-registered, PSF-matched; height, width and their ratio",micrometres / dimensionless,True,whether elongation is axial or isotropic swelling,matched to compound 23
