rank,interface,protein_to_act_on,direction,modality,modality_mechanism,feasibility,directness,expected_tissue_penetration,engagement_biomarker,reversibility,systemic_liabilities,existing_probes_or_reagents,orderable_today,structures_available,best_resolution_angstrom,chembl_activities,verdict,rank_key
1,NPR3 ligand-binding pocket : CNP,NPR3,RIGHT_DIRECTION,decoy / ligand trap,soluble receptor or binding-protein fragment that sequesters a partner,directly applicable - a soluble fragment of one partner sequesters the other,"indirect - acts on the partner, not the named protein",poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,reduced natriuretic peptide clearance is a haemodynamic effect by construction - GTEx puts NPR3 highest in aorta,research reagents exist (230 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,4,2.0,230,CANDIDATE MODALITY,1111
2,NPR3 ligand-binding pocket : CNP,NPR3,RIGHT_DIRECTION,engineered peptide / macrocycle,mimics one partner's binding element,plausible for a ligand pocket,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED",local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,reduced natriuretic peptide clearance is a haemodynamic effect by construction - GTEx puts NPR3 highest in aorta,research reagents exist (230 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,4,2.0,230,CANDIDATE MODALITY,1111
3,NPR3 ligand-binding pocket : CNP,NPR3,RIGHT_DIRECTION,monoclonal antibody / Fab,binds an extracellular epitope,well matched - the target is extracellular and the interface is a protein surface,direct - acts on the named protein itself,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,reduced natriuretic peptide clearance is a haemodynamic effect by construction - GTEx puts NPR3 highest in aorta,research reagents exist (230 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,4,2.0,230,CANDIDATE MODALITY,1111
4,NPR3 ligand-binding pocket : CNP,NPR3,RIGHT_DIRECTION,small molecule (orthosteric),occupies a defined pocket,plausible - there is a defined pocket,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED",local CNP concentration and cGMP in microdissected terminal zone,reversible on clearance; duration set by the agent's residence time,reduced natriuretic peptide clearance is a haemodynamic effect by construction - GTEx puts NPR3 highest in aorta,research reagents exist (230 catalogued activities) but none is a named compound - a specific reagent must still be selected and its potency measured,True,4,2.0,230,CANDIDATE MODALITY,1111
5,proMBP : PAPP-A,proMBP,RIGHT_DIRECTION,decoy / ligand trap,soluble receptor or binding-protein fragment that sequesters a partner,directly applicable - a soluble fragment of one partner sequesters the other,"indirect - acts on the partner, not the named protein",poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,2,3.45,0,CANDIDATE MODALITY,1110
6,STC2 : PAPP-A,STC2,RIGHT_DIRECTION,monoclonal antibody / Fab,binds an extracellular epitope,well matched - the target is extracellular and the interface is a protein surface,direct - acts on the named protein itself,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,4,3.06,0,CANDIDATE MODALITY,1110
7,STC2 : PAPP-A,STC2,RIGHT_DIRECTION,decoy / ligand trap,soluble receptor or binding-protein fragment that sequesters a partner,directly applicable - a soluble fragment of one partner sequesters the other,"indirect - acts on the partner, not the named protein",poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,4,3.06,0,CANDIDATE MODALITY,1110
8,STC2 : PAPP-A,STC2,RIGHT_DIRECTION,engineered peptide / macrocycle,mimics one partner's binding element,well matched to a PPI - one partner's binding element is the starting point,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED","free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,4,3.06,0,CANDIDATE MODALITY,1110
9,proMBP : PAPP-A,proMBP,RIGHT_DIRECTION,engineered peptide / macrocycle,mimics one partner's binding element,well matched to a PPI - one partner's binding element is the starting point,direct - acts on the named protein itself,"a small molecule is the most likely to reach the terminal zone, but this has still not been measured for any agent in this programme - stage 77 left all five prior probes at PENETRATION_UNRESOLVED","free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,2,3.45,0,CANDIDATE MODALITY,1110
10,proMBP : PAPP-A,proMBP,RIGHT_DIRECTION,monoclonal antibody / Fab,binds an extracellular epitope,well matched - the target is extracellular and the interface is a protein surface,direct - acts on the named protein itself,poor into the terminal zone - an antibody-sized agent must cross ~100 um of dense avascular matrix (stage 70); UNMEASURED here,"free vs STC2-bound PAPP-A, and intact vs cleaved IGFBP-4, measured on microdissected terminal zone",reversible on clearance; duration set by the agent's residence time,increases free IGF wherever the agent distributes; the same axis is an oncology target in the opposite direction,"REQUIRES DEVELOPMENT - zero catalogued ChEMBL activities against this target, so there is no probe to order",False,2,3.45,0,CANDIDATE MODALITY,1110
