compound,node,requirement_id,requirement,criterion,note,currently_satisfiable,evidence,status
Y-27632,ROCK,R1,a structurally unrelated compound engaging the same molecular node,"Morgan (r=2, 2048-bit) Tanimoto < 0.40 to the index compound, and its own node potency within 10-fold of its own most potent protein target",stage 69 computed both for every proposed comparator,True,"5 audited comparators pass: SR-3677, NETARSUDIL, RIPASUDIL, HYDROXYFASUDIL, BELUMOSUDIL",NOT YET MEASURED
Y-27632,ROCK,R2,matching target engagement,"the comparator moves the same primary engagement marker, in the terminal hypertrophic zone, at its own selective concentration",a comparator that reproduces the phenotype without engaging the node has reproduced an off-target effect,True,engagement marker defined in stage 70 and the index compound is node-selective,NOT YET MEASURED
Y-27632,ROCK,R3,matching geometry AND length phenotype,"same direction on the height-to-width ratio and on plateau length, both beyond the stage-66 smallest detectable change","matching one and not the other is a different mechanism, not a replication",False,"requires stages 72-74, which have not run",NOT YET MEASURED
Y-27632,ROCK,R4,"a rescue, reversal or epistasis experiment",the phenotype is abolished by a manipulation that acts at or below the node,the only design that can prove the node is necessary rather than correlated,True,3 rescue designs specified: inhibitor-resistant ROCK re-expression; constitutively active ROCK / MLC phosphomimetic epistasis; isoform knockdown,NOT YET MEASURED
Y-27632,ROCK,R5,no shared dominant off-target at the active concentration,"the index and the comparator do not share a target that both engage at their working concentrations, computed from their full ChEMBL profiles",two compounds sharing an off-target is not orthogonal replication; it is the same experiment done twice,,computable from the two compounds' full ChEMBL profiles once a working concentration exists for each,NOT YET MEASURED
SIMVASTATIN,HMGCR,R1,a structurally unrelated compound engaging the same molecular node,"Morgan (r=2, 2048-bit) Tanimoto < 0.40 to the index compound, and its own node potency within 10-fold of its own most potent protein target",stage 69 computed both for every proposed comparator,True,"5 audited comparators pass: FLUVASTATIN, ROSUVASTATIN, PRAVASTATIN, ATORVASTATIN, PITAVASTATIN",NOT YET MEASURED
SIMVASTATIN,HMGCR,R2,matching target engagement,"the comparator moves the same primary engagement marker, in the terminal hypertrophic zone, at its own selective concentration",a comparator that reproduces the phenotype without engaging the node has reproduced an off-target effect,True,engagement marker defined in stage 70 and the index compound is node-selective,NOT YET MEASURED
SIMVASTATIN,HMGCR,R3,matching geometry AND length phenotype,"same direction on the height-to-width ratio and on plateau length, both beyond the stage-66 smallest detectable change","matching one and not the other is a different mechanism, not a replication",False,"requires stages 72-74, which have not run",NOT YET MEASURED
SIMVASTATIN,HMGCR,R4,"a rescue, reversal or epistasis experiment",the phenotype is abolished by a manipulation that acts at or below the node,the only design that can prove the node is necessary rather than correlated,True,3 rescue designs specified: mevalonate add-back; branch-point add-back: GGPP versus FPP versus cholesterol; RORalpha-directed control,NOT YET MEASURED
SIMVASTATIN,HMGCR,R5,no shared dominant off-target at the active concentration,"the index and the comparator do not share a target that both engage at their working concentrations, computed from their full ChEMBL profiles",two compounds sharing an off-target is not orthogonal replication; it is the same experiment done twice,,computable from the two compounds' full ChEMBL profiles once a working concentration exists for each,NOT YET MEASURED
VISMODEGIB,SMO,R1,a structurally unrelated compound engaging the same molecular node,"Morgan (r=2, 2048-bit) Tanimoto < 0.40 to the index compound, and its own node potency within 10-fold of its own most potent protein target",stage 69 computed both for every proposed comparator,True,"4 audited comparators pass: GLASDEGIB, SONIDEGIB, PATIDEGIB, TALADEGIB",NOT YET MEASURED
VISMODEGIB,SMO,R2,matching target engagement,"the comparator moves the same primary engagement marker, in the terminal hypertrophic zone, at its own selective concentration",a comparator that reproduces the phenotype without engaging the node has reproduced an off-target effect,True,engagement marker defined in stage 70 and the index compound is node-selective,NOT YET MEASURED
