panel_id,compound,panel_role,why_in_panel,test_concentrations,concentration_basis,concentration_source,what_it_falsifies
GP01,"vehicle (DMSO, matched to the highest compound vehicle fraction)",VEHICLE,defines zero; every geometry endpoint is expressed against it,n/a,not applicable - vehicle,,nothing - it is the reference
GP02,IGF1,POSITIVE_GEOMETRY_CONTROL,"positive control for longitudinal growth. It is NOT a positive control for axial geometry - nothing establishes that it changes terminal-cell shape, and if it lengthens the bone without changing height-to-width it is the cleanest demonstration that length and shape are separable",,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,that a length gain must come with a shape change
GP03,bafilomycin A1,MECHANISTIC_PROBE,named by the brief. Stages 29-35 established V-ATPase inhibition is NOT an established growth intervention; it enters as a test of a prior claim,,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,that V-ATPase inhibition does anything to growth-plate geometry
GP04,Y-27632,MECHANISTIC_PROBE,"most-used compound in the corpus and the anchor paper's smallest length gain, acting through resting-zone expansion in embryonic tissue. One ROCK arm of several, deliberately not the lead",10 µM,"published concentration, read manually from the source methods","PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",that the most-published ROCK tool is the right one
GP05,cytochalasin D,DISORGANIZATION_CONTROL,"hard-rejected as a candidate. Defines what a large length gain WITH appositional widening and column loss looks like, so the gates can exclude it",1 µM,"published concentration, read manually from the source methods","PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",that a length gain is sufficient evidence of productive growth
GP06,jasplakinolide,DISORGANIZATION_CONTROL,"opposite-direction actin perturbation, same disorganised phenotype; shows the gate is not simply detecting depolymerisation",50 nM,"published concentration, read manually from the source methods","PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",that the disorganised phenotype is specific to depolymerisation
GP07,latrunculin B,DISORGANIZATION_CONTROL,"second depolymeriser with a different binding site, so the disorganisation control is not one compound's idiosyncrasy",150 ng/ml; 500 ng/ml,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,PMC6383868 (chick/femoral),that the cytochalasin D phenotype is compound-specific
GP08,hypotonic medium (reduced-osmolality DMEM),SWELLING_CONTROL,"the brief's osmotic swelling control. Increases cell volume with no shape programme; any hit whose geometry resembles this arm is swelling, not remodelling",,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,that a height increase is a shape change rather than swelling
GP09,mannitol,SWELLING_CONTROL,"hyperosmotic direction, so the swelling axis is two-sided rather than one arm",,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,that the swelling axis only runs in one direction
GP28,vehicle replicate (plate corner),PLATE_POSITION_CONTROL,edge and corner wells evaporate and warm differently; without vehicle wells in those positions a position effect is indistinguishable from a compound effect,n/a,not applicable - control well,,nothing - it is the reference
GP29,vehicle replicate (plate corner),PLATE_POSITION_CONTROL,edge and corner wells evaporate and warm differently; without vehicle wells in those positions a position effect is indistinguishable from a compound effect,n/a,not applicable - control well,,nothing - it is the reference
GP30,vehicle replicate (plate corner),PLATE_POSITION_CONTROL,edge and corner wells evaporate and warm differently; without vehicle wells in those positions a position effect is indistinguishable from a compound effect,n/a,not applicable - control well,,nothing - it is the reference
GP31,vehicle replicate (plate corner),PLATE_POSITION_CONTROL,edge and corner wells evaporate and warm differently; without vehicle wells in those positions a position effect is indistinguishable from a compound effect,n/a,not applicable - control well,,nothing - it is the reference
GP32,untreated (no vehicle),VEHICLE_TOXICITY_CONTROL,"separates the DMSO effect from the zero effect, which matters because the geometry endpoints are sensitive to anything that stresses the explant",n/a,not applicable - control well,,that DMSO itself is inert for these endpoints
GP33,"fluorescent penetration tracer, MW-matched to the panel median",PENETRATION_CONTROL,"cartilage is avascular and dense. Without evidence that anything reaches the terminal hypertrophic zone, a negative result means nothing, and this is the single control the entire stage-61 corpus never ran",n/a,not applicable - control well,,that anything at all reaches the terminal hypertrophic zone - a negative result is uninterpretable without it
GP34,"fluorescent penetration tracer, MW-matched to the panel median",PENETRATION_CONTROL,"cartilage is avascular and dense. Without evidence that anything reaches the terminal hypertrophic zone, a negative result means nothing, and this is the single control the entire stage-61 corpus never ran",n/a,not applicable - control well,,that anything at all reaches the terminal hypertrophic zone - a negative result is uninterpretable without it
GP35,additional explant replicate (arm assigned at randomisation),REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",n/a,not applicable - control well,,specificity of its active partner
GP36,additional explant replicate (arm assigned at randomisation),REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",n/a,not applicable - control well,,specificity of its active partner
GP37,additional explant replicate (arm assigned at randomisation),REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",n/a,not applicable - control well,,specificity of its active partner
GP38,additional explant replicate (arm assigned at randomisation),REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",n/a,not applicable - control well,,specificity of its active partner
GP39,additional explant replicate (arm assigned at randomisation),REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",n/a,not applicable - control well,,specificity of its active partner
GP40,additional explant replicate (arm assigned at randomisation),REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",n/a,not applicable - control well,,specificity of its active partner
GP41,additional explant replicate (arm assigned at randomisation),REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",n/a,not applicable - control well,,specificity of its active partner
GP42,additional explant replicate (arm assigned at randomisation),REPLICATE_WELL,"stage 67 measures the gate suite's sensitivity at 8 explants per arm and finds it short of 100%; surplus capacity buys explants, not more compounds with weaker evidence",n/a,not applicable - control well,,specificity of its active partner
