panel_id,compound,compound_family,panel_role,why_in_panel,primary_target_queried,test_concentrations,concentration_basis,concentration_source,chembl_id,is_fixed_control,target_geometry_class,inactive_analogue,has_inactive_analogue
GP01,"vehicle (DMSO, matched to the highest compound vehicle fraction)",vehicle,VEHICLE,defines zero; every geometry endpoint is expressed against it,,n/a,not applicable - vehicle,,,True,,,False
GP02,IGF1,growth factor,POSITIVE_GEOMETRY_CONTROL,"positive control for longitudinal growth. It is NOT a positive control for axial geometry - nothing establishes that it changes terminal-cell shape, and if it lengthens the bone without changing height-to-width it is the cleanest demonstration that length and shape are separable",,,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,,True,,,False
GP03,bafilomycin A1,V-ATPase inhibitor,MECHANISTIC_PROBE,named by the brief. Stages 29-35 established V-ATPase inhibition is NOT an established growth intervention; it enters as a test of a prior claim,,,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,,True,,,False
GP04,Y-27632,ROCK1/2 inhibitor,MECHANISTIC_PROBE,"most-used compound in the corpus and the anchor paper's smallest length gain, acting through resting-zone expansion in embryonic tissue. One ROCK arm of several, deliberately not the lead",ROCK1,10 µM,"published concentration, read manually from the source methods","PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",CHEMBL559147,True,UNKNOWN,,False
GP05,cytochalasin D,actin depolymeriser,DISORGANIZATION_CONTROL,"hard-rejected as a candidate. Defines what a large length gain WITH appositional widening and column loss looks like, so the gates can exclude it",,1 µM,"published concentration, read manually from the source methods","PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",,True,,,False
GP06,jasplakinolide,actin stabiliser,DISORGANIZATION_CONTROL,"opposite-direction actin perturbation, same disorganised phenotype; shows the gate is not simply detecting depolymerisation",,50 nM,"published concentration, read manually from the source methods","PMC4516504 methods, read manually (E15.5 mouse tibia organ culture, 6 days)",,True,,,False
GP07,latrunculin B,actin depolymeriser,DISORGANIZATION_CONTROL,"second depolymeriser with a different binding site, so the disorganisation control is not one compound's idiosyncrasy",,150 ng/ml; 500 ng/ml,published concentration extracted from a bone or cartilage experiment - VERIFY against the source before use,PMC6383868 (chick/femoral),,True,,,False
GP08,hypotonic medium (reduced-osmolality DMEM),osmotic agent,SWELLING_CONTROL,"the brief's osmotic swelling control. Increases cell volume with no shape programme; any hit whose geometry resembles this arm is swelling, not remodelling",,,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,,True,,,False
GP09,mannitol,osmotic agent,SWELLING_CONTROL,"hyperosmotic direction, so the swelling axis is two-sided rather than one arm",,,MUST BE SET FROM A CITED SOURCE BEFORE THE EXPERIMENT RUNS - none is invented here,,,True,,,False
GP10,BOSUTINIB,FAK / adhesion turnover,TARGET_CLASS_CANDIDATE,"arm 1 of 2 for FAK / adhesion turnover; target has a column-organisation phenotype; the class is worth testing, this compound is not individually supported",SRC,0.3 µM; 1 µM; 3 µM,derived: 3x/10x/30x the measured cellular potency,ChEMBL cellular 10th-percentile potency 100 nM,CHEMBL288441,False,COLUMN_ALIGNMENT_SUPPORT,,False
GP11,LX-7101,LIMK inhibitor,MECHANISTIC_PROBE,"arm 1 of 2 for LIMK inhibitor; clean and orderable, but no geometry evidence",LIMK2,0.00723 µM; 0.0241 µM; 0.0723 µM,derived: 3x/10x/30x the measured biochemical potency,ChEMBL biochemical 10th-percentile potency 2.41 nM,CHEMBL3356433,False,UNKNOWN,,False
