node,index_compound,design,what_it_does,feasibility,what_it_proves
ROCK,Y-27632,inhibitor-resistant ROCK re-expression,"Express a ROCK isoform carrying an ATP-pocket mutation that lowers Y-27632 affinity, in explants or in chondrocytes reaggregated into a pellet. If the geometry phenotype is on-target it is abolished in the resistant background.","genetic, feasible in transduced pellet culture; hard in intact explant",cleanest possible on-target proof; distinguishes ROCK from every other kinase Y-27632 touches
ROCK,Y-27632,constitutively active ROCK / MLC phosphomimetic epistasis,"Co-deliver a constitutively active ROCK fragment, or a phosphomimetic MLC, alongside the inhibitor. If the phenotype is ROCK-substrate driven it is reversed downstream of the drug.",genetic; places the effect above or below MLC phosphorylation,distinguishes 'ROCK activity' from 'actomyosin tension' as the operative variable
ROCK,Y-27632,isoform knockdown,Partial shRNA/siRNA knockdown of ROCK1 versus ROCK2 separately. The isoform whose knockdown phenocopies is the necessary one.,"genetic; the only route to the isoform question, since no available compound is isoform-selective enough","answers stage 68's question 5, which chemistry cannot"
HMGCR,SIMVASTATIN,mevalonate add-back,"Add mevalonate to the medium alongside the statin. Mevalonate is downstream of HMGCR, so a genuine HMGCR-mediated phenotype is rescued and an off-target one is not. This is the single most informative experiment in the whole statin arm.","pharmacological, simple, no genetics needed","if mevalonate does not rescue, the phenotype is not HMGCR and the statin arm ends"
HMGCR,SIMVASTATIN,branch-point add-back: GGPP versus FPP versus cholesterol,"Separate add-backs of geranylgeranyl pyrophosphate, farnesyl pyrophosphate and LDL/cholesterol. Whichever restores the phenotype identifies the branch: prenylation (GGPP/FPP) or sterol.",pharmacological; the decomposition the brief explicitly asks for,"separates prenylation from cholesterol from RORalpha, which no statin alone can"
HMGCR,SIMVASTATIN,RORalpha-directed control,"A direct RORalpha inverse agonist/agonist run in parallel. If the statin phenotype is RORalpha-mediated, the direct ligand reproduces it and GGPP add-back does not rescue.",pharmacological; discriminates the third branch,the anchor paper's RORalpha thread is tested rather than assumed
SMO,VISMODEGIB,SMO agonist reversal,Co-treat with a SMO agonist (purmorphamine or SAG). A competitive SMO-driven phenotype is reversed; an off-target one is not.,pharmacological; direct opposing perturbation at the same protein,confirms the effect is at SMO rather than elsewhere in the cilium
SMO,VISMODEGIB,downstream GLI bypass,"Express constitutively active GLI2, or use a GLI antagonist, to place the phenotype above or below GLI. A SMO-driven phenotype is bypassed by active GLI.",genetic; epistasis rather than reversal,"separates 'SMO antagonism' from 'general Hedgehog suppression', which the brief requires"
SMO,VISMODEGIB,SMO drug-resistant mutant,SMO D473H (the clinical vismodegib-resistance allele) re-expression. The phenotype should disappear in that background.,genetic; the strongest on-target proof available for this node,a resistance allele is the gold standard for target assignment
LIMK,LX-7101,cofilin S3A epistasis,Express non-phosphorylatable cofilin (S3A). LIMK acts by phosphorylating cofilin S3; if the phenotype runs through that phosphorylation it is abolished.,genetic; places the effect precisely at the LIMK-cofilin step,"p-cofilin is both the engagement marker and the epistasis node, which is why LIMK is the cleanest of the five mechanistically"
LIMK,LX-7101,isoform knockdown,"Separate LIMK1 and LIMK2 knockdown. LIMK2 is the more highly expressed isoform in cartilage in several datasets, and the compound's isoform preference has to be matched against which isoform is necessary.",genetic,answers the LIMK1-versus-LIMK2 question chemistry cannot
SRC,BOSUTINIB,target assignment before any rescue,No rescue can be designed until the causal node is identified. Bosutinib engages a broad kinase set; the deconvolution experiment is a matched panel of cleaner single-node inhibitors run side by side at their own selective concentrations.,"pharmacological deconvolution, not a rescue","a rescue for an unassigned target is not interpretable, which is why bosutinib is held at DECONVOLUTION_REQUIRED"
