arm,agent,direction,endpoint_tier,endpoint,method,unit,applicable,note,concentration_basis
vehicle,assay buffer alone,—,0,agent concentration in the terminal hypertrophic zone,LC-MS/MS or labelled-reagent imaging on microdissected zones,pg per zone,False,no active agent to detect; these wells define the assay background,not applicable
vehicle,assay buffer alone,—,0,local target engagement,for STC2: free vs STC2-bound PAPP-A by immunoassay. for NPR3: local CNP concentration and cGMP,ratio / pmol per mg,False,no active agent to detect; these wells define the assay background,not applicable
vehicle,assay buffer alone,—,1,intact vs cleaved IGFBP-4,"immunoblot, cleaved-fragment specific",ratio,True,the direct substrate readout for PAPP-A; separates 'PAPP-A was released' from 'IGF went up for another reason',not applicable
vehicle,assay buffer alone,—,1,intact vs cleaved IGFBP-3 and IGFBP-5,"immunoblot, cleaved-fragment specific",ratio,True,the PAPP-A2 substrates. Measured separately from IGFBP-4 because the two enzymes are not interchangeable,not applicable
vehicle,assay buffer alone,—,1,local free IGF-I and free IGF-II,immunoassay on zone-microdissected lysate,pg per mg protein,True,"the proximal readout of the axis mechanism; free, not total, because total IGF is what the binding proteins hold and is not the active pool",not applicable
vehicle,assay buffer alone,—,1,p-IGF1R,phospho-specific immunoassay or immunoblot on zone lysate,ratio to total IGF1R,True,shows the released ligand actually reached and activated its receptor in this tissue,not applicable
vehicle,assay buffer alone,—,1,p-AKT,phospho-specific immunoassay on zone lysate,ratio to total AKT,True,the downstream node; a p-IGF1R change without a p-AKT change means the signal did not propagate,not applicable
vehicle,assay buffer alone,—,2,terminal hypertrophic cell HEIGHT along the bone axis,"3D confocal, axis-registered, PSF-matched",micrometres,True,stage 66 established that this is measurable to ICC 0.993 and that 2D area is not a substitute,not applicable
vehicle,assay buffer alone,—,2,terminal cell height-to-width ratio,as above,dimensionless,True,separates axial elongation from isotropic swelling. Swelling is not useful elongation,not applicable
vehicle,assay buffer alone,—,2,hypertrophic zone height,axis-registered confocal,micrometres,True,zone-level correlate of the cell-level measure,not applicable
vehicle,assay buffer alone,—,2,number of active proliferative columns,axis-registered confocal,count per section,True,elongation is columns x cells per column x axial contribution per cell; a change in one term is not a change in the product,not applicable
vehicle,assay buffer alone,—,2,cells per proliferative column,axis-registered confocal,count,True,the second term of the same product,not applicable
vehicle,assay buffer alone,—,2,proliferation (EdU incorporation),"EdU pulse, zone-resolved counting",fraction of nuclei labelled,True,distinguishes a longer plate built by more cell divisions from one built by bigger terminal cells - different mechanisms with different ceilings,not applicable
vehicle,assay buffer alone,—,2,apoptosis in the terminal zone,"TUNEL or cleaved-caspase-3, zone-resolved",fraction of nuclei,True,"a plate that elongates because terminal cells fail to die on schedule is not the same result, and would predict a different plateau",not applicable
vehicle,assay buffer alone,—,2,matrix secretion,"proteoglycan and collagen II quantification, zone-resolved",per mg tissue,True,axial elongation requires matrix to occupy the new volume; a length gain without it predicts a mechanically weak plate,not applicable
vehicle,assay buffer alone,—,3,daily elongation rate,calibrated imaging at fixed timepoints,micrometres per day,True,the actual output. Cell shape without a length gain is not a result,not applicable
