endpoint,family,tier,how_measured,why_it_is_here,timepoints,result_that_kills_the_hypothesis,discriminates_phenotypes,replicate_unit,blinded
daily metatarsal elongation,growth,PRIMARY,"calibrated imaging each day; mixed-effects curve, bone nested within animal",separates rate from total; the factorial interaction is fitted on this series,daily from baseline through late recovery,no D1 effect at any timepoint -> fails GATE 2,A B C D F,explant from an independent animal (bone nested within animal),True
absolute length gain,growth,PRIMARY,cumulative gain from baseline to each timepoint,the raw efficacy measure,baseline; during perturbation; immediate post; recovery; late recovery,no gain -> fails GATE 2,A B,explant from an independent animal (bone nested within animal),True
plateau length at growth cessation,growth,PRIMARY,culture each arm until its own daily elongation is indistinguishable from zero,the only endpoint that answers 'more growth' rather than 'faster growth',late recovery,"plateau equal to control despite a higher rate -> phenotype B, not A",A B C F,explant from an independent animal (bone nested within animal),True
persistence after knockdown decay or washout,growth,PRIMARY,"withdraw at the midpoint (siRNA decay, dox withdrawal, compound washout) and carry to cessation alongside continuously treated explants",tests whether the gain is banked or borrowed - the gap stage 29 found in the bafilomycin literature,immediate post; recovery; late recovery,washed-out arm ends below control -> phenotype F,A F,explant from an independent animal (bone nested within animal),True
recovery-phase growth rate,growth,PRIMARY,"daily rate after the perturbation ends, relative to the control's rate over the same days",collapse shows up here before it shows up in the plateau,recovery; late recovery,recovery rate below control -> phenotype F,A F,explant from an independent animal (bone nested within animal),True
resting-zone cell number,resting-zone,PRIMARY,"stereological count on serial sections, zone defined by an independent marker","stage 37 shows the knockdown is not confined to hypertrophic cells, so reserve depletion is a first-class outcome",immediate post; recovery; late recovery,reserve depleted -> phenotype C; fails GATE 3,A C,explant from an independent animal (bone nested within animal),True
PTHrP-positive resting cell number,resting-zone,PRIMARY,"PTHLH immunostaining, counted not scored",the functional reserve marker rather than a positional one,immediate post; recovery; late recovery,PTHrP+ pool falls -> phenotype C,A C,explant from an independent animal (bone nested within animal),True
resting-zone clone / lineage output,resting-zone,SECONDARY,sparse lineage labelling where the model supports it,distinguishes a smaller reserve from a reserve that is simply working faster,recovery; late recovery,clone output per founder falls -> reserve is being spent,A C,explant from an independent animal (bone nested within animal),True
active column number,resting-zone,PRIMARY,"columns containing >=3 flattened chondrocytes, counted per plate width","the throughput of the plate, independent of how tall each column is",immediate post; recovery; late recovery,active columns fall -> fails GATE 3,A C,explant from an independent animal (bone nested within animal),True
newly initiated column number,resting-zone,PRIMARY,columns founded during the labelling window,the direct readout of whether the resting pool is still recruiting,during perturbation; recovery,initiation falls -> phenotype C,A C,explant from an independent animal (bone nested within animal),True
cells per column,column dynamics,SECONDARY,counted along each column axis,"column productivity, not plate height",immediate post; recovery; late recovery,falls while length rises -> the gain is not coming from proliferation,A B,explant from an independent animal (bone nested within animal),True
proliferative divisions per column,column dynamics,SECONDARY,EdU/BrdU pulse-chase along the column,separates more divisions from longer retention in the proliferative pool,during perturbation; recovery,divisions fall -> proliferative cost,A B C,explant from an independent animal (bone nested within animal),True
column length,column dynamics,SECONDARY,measured on the same sections,the geometric bridge between cell number and plate height,immediate post; recovery; late recovery,,A B,explant from an independent animal (bone nested within animal),True
terminal cells produced per column,column dynamics,SECONDARY,terminal hypertrophic cells per traced column,the throughput term in elongation = columns x terminal cells x cell height,immediate post; recovery; late recovery,unchanged while length rises -> gain is cell size only,A B,explant from an independent animal (bone nested within animal),True
matrix-domain contribution per terminal cell,column dynamics,PRIMARY,matrix height attributable to each terminal cell,distinguishes cell swelling from matrix deposition - swelling is not durable,immediate post; recovery; late recovery,swelling without matrix -> not productive anabolism,A B,explant from an independent animal (bone nested within animal),True
EdU / BrdU incorporation index,cell-state,PRIMARY,"pulse, zone-resolved","the readout that exposed the bafilomycin trade-off; GSE231795 puts Ddit4 higher in proliferative than hypertrophic cells, so this may be where the effect actually is",baseline; during perturbation; immediate post; recovery; late recovery,"proliferation falls -> the bafilomycin trade-off, not phenotype A",A B C,explant from an independent animal (bone nested within animal),True
proliferative-zone height,cell-state,PRIMARY,zone-resolved morphometry,the compartment most at risk given the stage-37 direction result,baseline; during perturbation; immediate post; recovery; late recovery,shrinks while hypertrophic zone expands -> phenotype B,A B,explant from an independent animal (bone nested within animal),True
prehypertrophic-zone height,cell-state,SECONDARY,zone-resolved morphometry,where the transition rate shows up,baseline; during perturbation; immediate post; recovery; late recovery,,B,explant from an independent animal (bone nested within animal),True
hypertrophic-zone height,cell-state,PRIMARY,zone-resolved morphometry,expansion here at the expense of the proliferative zone is the signature of acceleration,baseline; during perturbation; immediate post; recovery; late recovery,expands only by consuming the proliferative zone -> phenotype B,A B,explant from an independent animal (bone nested within animal),True
"terminal hypertrophic-cell height, width, volume",cell-state,PRIMARY,"the last hypertrophic cell in each column, all three dimensions",the direct elongation driver in the transient-productive-anabolism model,immediate post; recovery; late recovery,volume unchanged while length rises -> mechanism is not hypertrophic anabolism,A B,explant from an independent animal (bone nested within animal),True
TUNEL / cleaved caspase-3,hazard,PRIMARY,zone-resolved,bafilomycin raised this; it is the discriminator between the two phenotypes,baseline; during perturbation; immediate post; recovery; late recovery,"apoptosis rises -> hazard phenotype, fails GATE 2",A,explant from an independent animal (bone nested within animal),True
premature COL10A1 expansion,hazard,PRIMARY,COL10A1 domain position relative to the resting-proliferative boundary,the earliest histological sign of accelerated maturation,baseline; during perturbation; immediate post; recovery; late recovery,COL10A1 domain moves up the plate -> phenotype B,A B,explant from an independent animal (bone nested within animal),True
RUNX2 / MEF2C activation,hazard,SECONDARY,"immunostaining, zone-resolved",the transcriptional arm of premature hypertrophy,baseline; during perturbation; immediate post; recovery; late recovery,,B,explant from an independent animal (bone nested within animal),True
MMP13,hazard,SECONDARY,immunostaining and transcript,terminal differentiation and matrix turnover,baseline; during perturbation; immediate post; recovery; late recovery,,B F,explant from an independent animal (bone nested within animal),True
vascular invasion,hazard,SECONDARY,invasion front position (in vivo phase; explants are avascular),"explants cannot report this, which is one reason the in vivo phase exists",recovery; late recovery,,C F,explant from an independent animal (bone nested within animal),True
mineralisation-front advancement,hazard,PRIMARY,calcein / mineral front position over time,the front advancing faster than the plate is replenished is how a plate closes,immediate post; recovery; late recovery,front advances without matching column initiation -> phenotype C or F,C F,explant from an independent animal (bone nested within animal),True
fusion / senescence markers,hazard,PRIMARY,"plate bridging, CDKN2A/CDKN1A, senescence-associated markers",the endpoint state of an exhausted plate,recovery; late recovery,senescence rises in recovery -> phenotype F,C F,explant from an independent animal (bone nested within animal),True
growth-plate disorganisation,hazard,PRIMARY,"column alignment score, blinded",a longer but disorganised plate is not a functional gain,baseline; during perturbation; immediate post; recovery; late recovery,columns lose alignment -> fails GATE 2 regardless of length,A F,explant from an independent animal (bone nested within animal),True
resting-zone depletion,hazard,PRIMARY,resting-zone height and cell number as a fraction of baseline,the hazard that corresponds to this project's plate-exhaustion penalty,immediate post; recovery; late recovery,depletion -> phenotype C,A C,explant from an independent animal (bone nested within animal),True
COL2A1 intracellular vs extracellular,matrix,PRIMARY,"immunostaining ratio, zone-resolved",retention indicates secretory stress rather than productive matrix output,baseline; during perturbation; immediate post; recovery; late recovery,retention rises -> anabolism is not productive,A D,explant from an independent animal (bone nested within animal),True
COL10A1 intracellular vs extracellular,matrix,PRIMARY,"immunostaining ratio, hypertrophic zone",the hypertrophic-specific version of the same question,baseline; during perturbation; immediate post; recovery; late recovery,retention rises -> anabolism is not productive,A D,explant from an independent animal (bone nested within animal),True
ACAN,matrix,SECONDARY,immunostaining and transcript,the other major matrix output,baseline; during perturbation; immediate post; recovery; late recovery,,A,explant from an independent animal (bone nested within animal),True
collagen secretion rate,matrix,SECONDARY,pulse-labelled procollagen appearance in matrix,converts the retention ratio into a rate,during perturbation; recovery,,A,explant from an independent animal (bone nested within animal),True
matrix-domain height,matrix,PRIMARY,per hypertrophic cell,the durable component of elongation,immediate post; recovery; late recovery,unchanged -> swelling only,A B,explant from an independent animal (bone nested within animal),True
proteoglycan content,matrix,SECONDARY,safranin-O / GAG assay,bulk matrix quality,immediate post; recovery; late recovery,,A,explant from an independent animal (bone nested within animal),True
DDIT4 transcript and protein,pathway,RELEASE CRITERION,qPCR plus western; and in situ per zone in every transduced explant,"without zone-resolved verification no arm is interpretable, because stage 37 shows DDIT4 is broadly expressed rather than confined",baseline; during perturbation; immediate post; recovery; late recovery,knockdown not confined as intended in the zone-restricted arm -> that arm is void,E,explant from an independent animal (bone nested within animal),True
p-RPS6 / total RPS6,pathway,MECHANISM,western plus zone-resolved staining,"MTORC1 output, the S6K branch",baseline; during perturbation; immediate post; recovery; late recovery,,D,explant from an independent animal (bone nested within animal),True
p-S6K / total S6K,pathway,MECHANISM,western,the kinase itself rather than its substrate,baseline; during perturbation; immediate post; recovery; late recovery,,D,explant from an independent animal (bone nested within animal),True
p-4EBP1 / total 4EBP1,pathway,MECHANISM,western plus zone-resolved staining; also the calibration variable for the MTORC1 ladder,"the cleaner downstream branch, and how M1/M2/M3 suppression depth is defined",baseline; during perturbation; immediate post; recovery; late recovery,MTORC1 output unchanged by D1 -> DDIT4 is not acting through MTORC1 here,D,explant from an independent animal (bone nested within animal),True
AKT phosphorylation,pathway,MECHANISM,western,DDIT4 has MTORC1-independent effects on AKT; this is how they would show,baseline; during perturbation; immediate post; recovery; late recovery,,D,explant from an independent animal (bone nested within animal),True
AMPK phosphorylation,pathway,MECHANISM,western,the energy-stress route into the same node,baseline; during perturbation; immediate post; recovery; late recovery,,D,explant from an independent animal (bone nested within animal),True
MTORC1 lysosomal localisation,pathway,SECONDARY,mTOR/LAMP1 co-localisation where the preparation supports it,the step immediately downstream of the Rag/Ragulator module,immediate post; recovery; late recovery,,D,explant from an independent animal (bone nested within animal),True
ATF4 / ISR target panel,artifact control,PRIMARY,"ATF4, TRIB3, DDIT3/CHOP, ASNS",stage 38: stress adds ~20-30x more explained variance in DDIT4 than cell state does,baseline; during perturbation; immediate post; recovery; late recovery,"ISR panel tracks DDIT4 across arms -> attribute to stress state, not to DDIT4",D E,explant from an independent animal (bone nested within animal),True
HIF1A target panel,artifact control,PRIMARY,"VEGFA, PGK1, LDHA",explant cores are hypoxic and hypoxia drives DDIT4 directly,baseline; during perturbation; immediate post; recovery; late recovery,"hypoxia panel explains the DDIT4 gradient -> the gradient is oxygen, not identity",D E,explant from an independent animal (bone nested within animal),True
glucocorticoid target panel,artifact control,SECONDARY,"FKBP5, TSC22D3",the third canonical DDIT4 input,baseline; during perturbation; immediate post; recovery; late recovery,,D E,explant from an independent animal (bone nested within animal),True
explant viability and RNA integrity,artifact control,RELEASE CRITERION,viability stain plus RIN on the lysate arm,a dying explant produces the whole stress panel and a false phenotype,baseline; during perturbation; immediate post; recovery; late recovery,viability falls in any arm -> that arm is void,E,explant from an independent animal (bone nested within animal),True
