mouse_gene,human_gene,crispr_tier,crispr_effect_class,total_score,score_positive,score_penalty,fg_zone_bias,mouse_zone_top,human_zone_top,height_n_loci,tractable_class,blacklist_reasons,desired_intervention_direction
Prkar1a,PRKAR1A,A_secondary_validated,KO_blocks_maturation,4.33396,4.33396,0.0,shared,hypertrophic,proliferative,1.0,enzyme; kinase,annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles,"inhibit (delay hypertrophic transition, prolong growth window)"
Ezh2,EZH2,A_secondary_validated,KO_promotes_maturation,4.31292,5.61292,1.3,proliferative,proliferative,proliferative,7.0,epigenetic; transferase,chromatin/epigenetic machinery - broad transcriptional liability; annotated tumour suppressor - unsuitable for chronic paediatric exposure; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Ptch1,PTCH1,A_secondary_validated,KO_promotes_maturation,4.28459,5.58459,1.3,proliferative,hypertrophic,proliferative,52.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Epha2,EPHA2,A_secondary_validated,KO_blocks_maturation,4.21513,4.83656,0.62143,hypertrophic,hypertrophic,resting,,enzyme; kinase,available compounds carry black-box warnings,"inhibit (delay hypertrophic transition, prolong growth window)"
Apc,APC,A_secondary_validated,KO_blocks_maturation,4.12685,4.92685,0.8,hypertrophic,hypertrophic,hypertrophic,6.0,small-molecule pocket,essential in a substantial minority of DepMap screens; multiple curated cancer hallmark roles,"inhibit (delay hypertrophic transition, prolong growth window)"
Tsc2,TSC2,A_secondary_validated,KO_blocks_maturation,4.0504,4.0504,0.0,hypertrophic,hypertrophic,prehypertrophic,7.0,antibody-accessible,multiple curated cancer hallmark roles,"inhibit (delay hypertrophic transition, prolong growth window)"
Kdm1a,KDM1A,A_secondary_validated,KO_blocks_maturation,4.0382,4.0382,0.0,hypertrophic,resting,hypertrophic,,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Brd2,BRD2,A_secondary_validated,KO_blocks_maturation,3.94006,4.74006,0.8,shared,resting,hypertrophic,3.0,epigenetic,essential in a substantial minority of DepMap screens; chromatin/epigenetic machinery - broad transcriptional liability,"inhibit (delay hypertrophic transition, prolong growth window)"
Pibf1,PIBF1,A_secondary_validated,KO_promotes_maturation,3.29477,4.49477,1.2,shared,proliferative,proliferative,2.0,antibody-accessible,intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Acvr1,ACVR1,A_secondary_validated,KO_promotes_maturation,3.24686,5.14686,1.9,shared,resting,proliferative,1.0,enzyme; kinase,mouse phenotype includes growth-plate disorganisation/fusion/dwarfism; annotated proto-oncogene - oncogenic liability; multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Sufu,SUFU,A_secondary_validated,KO_promotes_maturation,3.2284,4.5284,1.3,shared,hypertrophic,perichondrium,5.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Cdyl,CDYL,A_secondary_validated,KO_promotes_maturation,3.17665,3.97665,0.8,shared,resting,prehypertrophic,1.0,epigenetic,chromatin/epigenetic machinery - broad transcriptional liability,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Pitrm1,PITRM1,A_secondary_validated,KO_blocks_maturation,3.15215,3.95215,0.8,shared,proliferative,proliferative,3.0,enzyme,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Chd8,CHD8,A_secondary_validated,KO_blocks_maturation,3.05153,3.85153,0.8,shared,resting,hypertrophic,8.0,enzyme; hydrolase,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
Arnt,ARNT,A_secondary_validated,KO_promotes_maturation,3.00159,4.72302,1.72143,shared,resting,resting,1.0,small-molecule pocket,multiple curated cancer hallmark roles; intervention direction risks premature maturation and plate exhaustion,activate/agonise (preserve resting pool; inhibition risks plate exhaustion)
Cop1,COP1,A_secondary_validated,KO_blocks_maturation,2.93554,3.73554,0.8,,,,2.0,enzyme; transferase,essential in a substantial minority of DepMap screens,"inhibit (delay hypertrophic transition, prolong growth window)"
