compound,intended_node,engagement_marker,what_it_reports,tier,why_this_marker,read_in,passes_if
Y-27632,ROCK,p-MYPT1 Thr696/Thr853,direct ROCK substrate,PRIMARY,MYPT1 is phosphorylated by ROCK directly; the phospho-antibodies are well characterised and can be read in the same section as the geometry,"the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
Y-27632,ROCK,p-MLC Ser19,downstream of both ROCK and MLCK,SUPPORTING,"MLCK phosphorylates the same site, so a p-MLC change is consistent with ROCK inhibition but does not require it - supporting evidence only","the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
SIMVASTATIN,HMGCR,"unprenylated RAP1A (western, prenylation-specific antibody)",GGPP branch,PRIMARY,accumulation of unprenylated RAP1A is the standard direct readout that mevalonate flux has been blocked; it is specific to the prenylation branch,"the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
SIMVASTATIN,HMGCR,"SREBP-2 target induction (HMGCR, LDLR mRNA)",sterol branch,PRIMARY,"sterol depletion de-represses SREBP-2, so its targets rise; this is the sterol-branch counterpart and the two together decompose the mechanism","the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
SIMVASTATIN,HMGCR,free cholesterol (filipin or lipidomics),sterol branch,SUPPORTING,slow to move in cartilage and confounded by serum lipid in the medium,"the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
VISMODEGIB,SMO,GLI1 mRNA,direct Hedgehog transcriptional target,PRIMARY,the most dynamic and sensitive pathway output,"the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
VISMODEGIB,SMO,PTCH1 mRNA,direct Hedgehog transcriptional target,PRIMARY,"tracks pathway output rather than SMO occupancy specifically, so it controls for a compound that disturbs the cilium without engaging SMO","the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
VISMODEGIB,SMO,HHIP mRNA,third Hedgehog target,SUPPORTING,guards against a GLI1-specific artefact,"the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
LX-7101,LIMK,p-cofilin Ser3,direct LIMK substrate,PRIMARY,"the LIMK substrate and the epistasis node; necessary but NOT sufficient, because slingshot and chronophin dephosphorylate the same site","the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
LX-7101,LIMK,p-CREB Ser133 / PKA substrate motif,PKA - the more potent target,PRIMARY,"stage 69 found PKA and AKT are MORE potent targets than LIMK2 for this compound. A PKA-substrate readout is mandatory, not optional: if p-CREB moves alongside p-cofilin, the arm is uninterpretable as a LIMK experiment","the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
LX-7101,LIMK,p-AKT substrate motif / p-GSK3 Ser9,AKT - joint most potent target,PRIMARY,same argument; AKT is co-equal with LIMK2 on this compound's own potency table,"the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
BOSUTINIB,SRC,p-CRKL Tyr207,canonical ABL substrate,PRIMARY,stage 69 reassigned bosutinib's most potent protein target from SRC to ABL1; p-CRKL is the standard ABL engagement marker,"the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
BOSUTINIB,SRC,p-SRC Tyr416 (activation loop),SRC-family autophosphorylation,PRIMARY,"SRC-family engagement, the node the compound was originally filed under","the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
BOSUTINIB,SRC,p-FAK Tyr576/577,SRC-dependent FAK site,SUPPORTING,distinguishes adhesion-complex signalling from kinase catalysis per se,"the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
BOSUTINIB,SRC,"p-PXN Tyr118, p-CTTN",adhesion and actin-branch substrates,SUPPORTING,the phosphoproteins closest to the geometry hypothesis,"the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
BOSUTINIB,SRC,broad phospho-tyrosine (4G10),everything,PRIMARY,"with 127 targets under 1 µM, a narrow panel would give a false impression of specificity; the broad blot is the honest one","the same microdissected zone as the LC-MS/MS sample, or the adjacent section","moves in the expected direction in the TERMINAL HYPERTROPHIC region specifically, not merely in the explant as a whole"
