compound,node,required_step,why_this_step,blocked_by,status
Y-27632,ROCK,"compare dual, ROCK1-biased and ROCK2-biased perturbations","stage 69 found every available ROCK compound is dual within a few fold on ChEMBL's own numbers, so the chemical version of this comparison cannot resolve the isoforms. It is run anyway as a chemotype-diversity check, and the isoform question is answered genetically.",stage 74 has not run,NOT YET MEASURED
Y-27632,ROCK,pathway engagement markers,"p-MYPT1 primary, p-MLC supporting.",stage 74 has not run,NOT YET MEASURED
Y-27632,ROCK,determine which isoform is necessary,separate ROCK1 and ROCK2 partial knockdown. This is the only route; no compound in the audit is isoform-selective enough to substitute.,stage 74 has not run,NOT YET MEASURED
Y-27632,ROCK,genetic partial knockdown where feasible,"partial rather than complete: full ROCK loss is expected to be broadly cytotoxic, and a dead explant answers nothing.",stage 74 has not run,NOT YET MEASURED
SIMVASTATIN,HMGCR,repeat with a distinct HMGCR inhibitor,stage 69 validated five statins of unrelated chemotype (Tanimoto 0.075-0.39 to simvastatin). Lovastatin and mevastatin are rejected as too similar.,stage 74 has not run,NOT YET MEASURED
SIMVASTATIN,HMGCR,mevalonate / pathway rescue,"mevalonate add-back is the single highest-value experiment in this stage: pharmacological, no genetics, and it can end the statin arm on one plate. If mevalonate does not rescue, the phenotype is not HMGCR.",stage 74 has not run,NOT YET MEASURED
SIMVASTATIN,HMGCR,"distinguish cholesterol, prenylation and RORalpha","separate GGPP, FPP and LDL/cholesterol add-backs, plus a direct RORalpha ligand arm. **The prenylation branch is not optional here**: statin -> less GGPP -> less Rho membrane anchoring -> less ROCK activity is a direct route from index compound 2 to index compound 1's node, so a shared phenotype between the ROCK and statin arms is one mechanism reached twice unless GGPP add-back separates them.",stage 74 has not run,NOT YET MEASURED
VISMODEGIB,SMO,repeat with a distinct SMO antagonist,"stage 69 validated four (glasdegib, patidegib, sonidegib, taladegib), all Tanimoto < 0.22 to vismodegib.",stage 74 has not run,NOT YET MEASURED
VISMODEGIB,SMO,confirm GLI pathway movement,"GLI1 and PTCH1 mRNA, in the terminal zone.",stage 74 has not run,NOT YET MEASURED
VISMODEGIB,SMO,rescue or bypass the pathway appropriately,SMO agonist (purmorphamine or SAG) reversal for the competitive test; constitutively active GLI2 for the epistasis test; SMO D473H - the clinical vismodegib-resistance allele - for the strongest on-target proof.,stage 74 has not run,NOT YET MEASURED
