endpoint,definition,unit,tier,computation,why_this_and_not_the_obvious_one
terminal_cell_axial_height_um,"Extent of the segmented cell along the LOCAL bone long axis, in micrometres.",µm,primary,"Projection of the cell's voxel coordinates onto the local column axis, max minus min, in calibrated units.",This is the endpoint the hypothesis is about. It is not cell length along the cell's own principal axis - a cell that elongates sideways gains principal-axis length and no axial height.
terminal_cell_transverse_width_um,Mean extent in the two directions orthogonal to the bone axis.,µm,primary,Mean of the extents along the two axes orthogonal to the local column axis.,Averaging the two transverse directions rather than taking the larger one keeps a cell that flattens in one transverse direction from reading as narrowed.
axial_height_to_width_ratio,Axial height divided by transverse width.,dimensionless,primary,terminal_cell_axial_height_um / terminal_cell_transverse_width_um.,The one number that separates axial remodelling from isotropic growth. An isotropically larger cell holds this constant; a swollen cell holds it constant or lowers it; the hypothesised phenotype raises it.
cell_volume_um3,Segmented volume.,µm³,primary,"Voxel count times voxel volume, after segmentation.",Present so that a height gain WITH a proportional volume gain can be told from a height gain at constant volume. Volume is never the endpoint; it is the control on the endpoint.
long_axis_deviation_deg,Angle between the cell's own principal axis and the local bone axis.,degrees,primary,arccos of the dot product between the first PCA eigenvector of the voxel cloud and the local column axis.,"A cell can get taller in its own frame while tipping out of the column. That is disorganisation, not elongation, and only this endpoint sees it."
column_axis_coherence,Mean cosine between neighbouring cells' local column axes within a clone.,dimensionless 0-1,primary,Mean pairwise cosine over the k nearest neighbours in the same column.,"Preserved column alignment is a requirement of the hypothesis, not a bonus. This is the endpoint that fails first under cytochalasin D."
nearest_neighbour_alignment,Mean cosine between a cell's long axis and those of its k nearest neighbours.,dimensionless 0-1,primary,Mean over k=6 nearest neighbours of |cos| between first PCA eigenvectors.,"Local order, independent of whether the global column axis was estimated well. A column-level measure can look fine while neighbouring cells disagree."
column_straightness,Ratio of end-to-end column length to summed inter-cell path length.,dimensionless 0-1,primary,|last cell centroid − first| / sum of consecutive centroid distances.,"A column that zig-zags delivers less axial length per cell than a straight one, and neither cell height nor cell count sees it."
column_spacing_um,Median centre-to-centre distance between adjacent columns.,µm,secondary,Median nearest-neighbour distance between column axes in the transverse plane.,Falling spacing with constant cell width means columns are being packed rather than cells narrowed; it is the tissue-level confound for the width endpoint.
active_columns_per_section,Number of columns with at least one EdU-positive proliferative cell.,count,primary,"Columns containing >=1 EdU+ nucleus, per calibrated section area.",Elongation is column output times per-cell contribution. A compound that makes cells taller while silencing columns has traded one term for the other.
terminal_cells_per_active_column,Number of terminal hypertrophic cells per active column.,count,primary,Terminal-classified cells divided by active columns.,"The per-column output term. Together with axial height it decomposes any length change into 'more cells' versus 'taller cells', which is the decomposition the hypothesis makes a claim about."
cells_per_column,Number of cells in a resolvable clonal column.,count,secondary,Connected-component count along the reconstructed column path.,Elongation is column output times per-cell axial contribution. Without this the two are not separable.
matrix_domain_height_um,Extracellular matrix-domain height attributable to each terminal cell.,µm,primary,"Axial distance between the septal midplanes above and below the cell, minus the cell's own axial height.","Longitudinal growth is cell height PLUS the matrix each cell lays down. A compound that raises cell height while collapsing the matrix domain has moved nothing, and only this endpoint separates the two contributions."
hypertrophic_zone_length_um,Length of the hypertrophic zone.,µm,secondary,Distance along the bone axis between the first and last hypertrophic cell in a column.,Included ONLY as a confound: the brief says zone widening is not the target. A hit that moves this without moving the height-to-width ratio has done the thing the hypothesis rejects.
bone_transverse_width_um,Widest transverse dimension of the explant.,µm,secondary,Maximum caliper width perpendicular to the long axis.,The appositional-growth confound. Cytochalasin D and jasplakinolide both raised length and this together; the gate has to be able to see it.
edu_positive_fraction,Fraction of proliferative-zone nuclei EdU-positive.,fraction,secondary,EdU+ nuclei / total nuclei in the proliferative zone.,Preserved proliferation is a requirement. A compound that lengthens cells by arresting the cell cycle is not a candidate.
tunel_positive_fraction,Fraction of TUNEL-positive nuclei.,fraction,secondary,TUNEL+ nuclei / total nuclei.,Preserved survival is a requirement. A dying cell can look tall.
viability_fraction,Fraction of cells excluding a viability dye.,fraction,secondary,"Live / total, live-dead stain at endpoint.",Distinguishes apoptosis from every other way an explant dies.
stress_reporter_fold,ER-stress and oxidative-stress signal.,fold vs vehicle,secondary,"CHOP/BiP immunoreactivity and a ROS reporter, normalised to vehicle.",A cell under injury-level stress can enlarge. Without this endpoint that is indistinguishable from regulated hypertrophy.
col2a1_area_fraction,Collagen II immunoreactive area fraction.,fraction,secondary,Positive area / proliferative-zone area.,Resting and proliferative matrix. Loss here means the compound is damaging the tissue upstream of the zone being measured.
acan_area_fraction,Aggrecan immunoreactive area fraction.,fraction,secondary,Positive area / growth-plate area.,"Proteoglycan loss softens the matrix and changes cell shape mechanically, which would read as a geometry effect."
col10a1_area_fraction,EXTRACELLULAR collagen X immunoreactive area fraction.,fraction,secondary,Extracellular positive area / hypertrophic-zone area.,Preserved matrix production is a requirement. Cells that get taller while making no matrix are not doing productive hypertrophy.
col10a1_intracellular_to_extracellular,Ratio of intracellular to extracellular collagen X signal.,dimensionless,primary,Mean intracellular collagen X intensity / mean extracellular.,"A secretory block retains collagen X inside the cell, so TOTAL collagen X looks preserved while none of it reaches the matrix. Without this ratio a secretory blocker passes the matrix gate."
explant_curvature,Deviation of the explant long axis from a straight line.,dimensionless,secondary,"Max perpendicular offset from the chord, divided by chord length.","Asymmetric growth bends the bone. A bent explant also mismeasures on every axial endpoint, which is why this is checked before anything else."
post_washout_length_gain_um,Length gained after compound removal.,µm,primary,Explant length at the end of washout minus length at washout start.,The endpoint every earlier stage of this project was missing. A compound that borrows growth and gives it back scores here and nowhere else.
