mouse_gene,human_gene,priority_rank,priority_reason,pmid,doi,pmcid,title,journal,year,cited_by,gene_in_title,method_in_abstract,zone_in_abstract,why_this_record,url
Ezh2,EZH2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37228094,10.1093/jnci/djad085,PMC11009504,Tazemetostat for tumors harboring SMARCB1/SMARCA4 or EZH2 alterations: results from NCI-COG pediatric MATCH APEC1621C.,Journal of the National Cancer Institute,2023,82,True,immunohistochemistry,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1093/jnci/djad085
Ezh2,EZH2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,29244146,10.1210/jc.2017-01948,PMC6276576,Ezh2 Mutations Found in the Weaver Overgrowth Syndrome Cause a Partial Loss of H3K27 Histone Methyltransferase Activity.,The Journal of clinical endocrinology and metabolism,2018,48,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1210/jc.2017-01948
Ezh2,EZH2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,30327434,10.1074/jbc.ra118.003909,PMC6295726,Loss of histone methyltransferase Ezh2 stimulates an osteogenic transcriptional program in chondrocytes but does not affect cartilage development.,The Journal of biological chemistry,2018,46,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1074/jbc.ra118.003909
Tsc2,TSC2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,27768862,10.1016/j.ajpath.2016.08.013,PMC5225296,Inactivation of Tsc2 in Mesoderm-Derived Cells Causes Polycystic Kidney Lesions and Impairs Lung Alveolarization.,The American journal of pathology,2016,22,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1016/j.ajpath.2016.08.013
Hdac5,HDAC5,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,33148508,10.1016/j.bone.2020.115709,PMC7744326,"PTHrP targets salt-inducible kinases, HDAC4 and HDAC5, to repress chondrocyte hypertrophy in the growth plate.",Bone,2021,16,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1016/j.bone.2020.115709
Acvr1,ACVR1,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,33217406,10.1016/j.ydbio.2020.11.004,PMC8035973,Dysregulated BMP signaling through ACVR1 impairs digit joint development in fibrodysplasia ossificans progressiva (FOP).,Developmental biology,2021,13,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1016/j.ydbio.2020.11.004
Brd4,,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,34700039,10.1016/j.bone.2021.116234,PMC9014208,Brd4 is required for chondrocyte differentiation and endochondral ossification.,Bone,2022,13,True,,hypertrophic,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1016/j.bone.2021.116234
Ezh2,EZH2,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,37558192,10.1016/j.bone.2023.116866,PMC10962865,G-protein coupled receptor 5C (GPRC5C) is required for osteoblast differentiation and responds to EZH2 inhibition and multiple osteogenic signals.,Bone,2023,7,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1016/j.bone.2023.116866
Sox9,SOX9,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,39225365,10.1096/fj.202400642r,PMC11404350,SHP2 ablation mitigates osteoarthritic cartilage degeneration by promoting chondrocyte anabolism through SOX9.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2024,5,True,,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.1096/fj.202400642r
Sox9,SOX9,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,,10.22541/au.175203970.01284783/v1,,Impact of Depression on Long Bone Growth and Bone Mass in Adolescent Rats: Insights into the SOX9 Regulatory Mechanism,,2025,0,True,immunohistochemistry,,gene named in the title of a closed-access growth-plate imaging paper,https://doi.org/10.22541/au.175203970.01284783/v1
Junb,JUNB,1,one of the 13 genes with an open intact-tissue record; the open figure was audited and found insufficient,19737917,10.1128/mcb.01549-08,PMC2772724,Extracellular signal-regulated kinase 1 (ERK1) and ERK2 play essential roles in osteoblast differentiation and in supporting osteoclastogenesis.,Molecular and cellular biology,2009,186,False,,perichondrial,closed-access record matching gene x growth-plate x method,https://doi.org/10.1128/mcb.01549-08
