mouse_gene,human_gene,final_class,n_gates_passed,gate_a,gate_a_reason,gate_b,gate_b_reason,gate_c,gate_c_reason,gate_d,gate_d_reason,gate_e,gate_e_reason,best_evidence_level,spatial_top_zone,zone_selective,figure_citations,species,n_independent_papers,crispr_tier,crispr_effect_class,crispr_guide_FDR_D15,robustness_class,predicted_phenotype,direction_rationale,genetic_evidence_rank,human_skeletal_disease,any_liability,ot_tractability,mgi_skeletal_terms,mgi_skeletal_pmids,experiment_that_would_kill_it,experiment_that_would_justify_metatarsal
Ptch1,PTCH1,PRODUCTIVE_DIRECTION_UNRESOLVED,2,True,passes,True,passes,False,"loss of function lengthens in MGI, but the gene is not in the terminal compartment, so the gain cannot be attributed to terminal axial contribution",False,human phenotype is dysplastic; liabilities: cancer; immune; developmental,False,no directional intervention exists; stage 46 did not query pharmacology because the biology gate failed,LEVEL_A,resting,0.0,PMC10906233 Figure 2 [LEVEL_A]; PMC12097805 Figure 6 [LEVEL_C]; PMC5065210 Fig 3 [LEVEL_C]; PMC9096555 FIGURE 2 [LEVEL_C],human; mouse; rat,6.0,A_secondary_validated,KO_promotes_maturation,0.06271,SPATIAL_AND_STATE_CONSISTENT,MATURATION_ACCELERATOR,"loss of function lengthens in MGI, but the gene is not in the terminal compartment, so the gain cannot be attributed to terminal axial contribution",direct rare-variant skeletal phenotype,"Abnormality of the skeletal system; osteoarthritis, hip; osteoarthritis, knee",cancer; immune; developmental,AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:UniProt Ubiquitination; SM:Structure with Ligand,abnormal craniofacial morphology; abnormal intramembranous bone ossification; abnormal skeleton morphology; increased body size,12872247; 23897749; 9262482; 9585239,"An inducible, partial, chondrocyte-restricted knockdown of Ptch1 in metatarsal explant carried to growth cessation. If plateau length is unchanged or lower than control while the rate rises, the effect is acceleration or exhaustion and the target is dead. Given loss of function lengthens in MGI, but the gene is not in the terminal compartment, so the, this is the expected outcome.",Nothing currently justifies metatarsal testing for this gene: it fails gate C and a metatarsal experiment cannot recover a missing localization or reverse a recorded shortening phenotype.
Sox9,SOX9,SPATIAL_VALIDATION_PENDING,1,False,"top compartment is perichondrium, outside the length-producing tissue",True,passes,False,MGI records growth-plate or cartilage disorganization on loss of function; a longer but disorganized plate is not a functional gain,False,human phenotype is dysplastic; liabilities: cancer; immune; developmental,False,no directional intervention exists; stage 46 did not query pharmacology because the biology gate failed,LEVEL_A,perichondrial,0.0,PMC10267520 Figure 2 [LEVEL_A]; PMC12685720 Figure 2 [LEVEL_A]; PMC10895259 Fig. 6. [LEVEL_A]; PMC10267520 Figure 6 [LEVEL_B]; PMC10256685 Fig. 3 [LEVEL_B]; PMC12460174 Extended Data Fig. 1 [LEVEL_C]; PMC11290974 Figure 7 [LEVEL_C]; PMC12866916 Figure 3 [LEVEL_C]; PMC12848162 Fig. 5 [LEVEL_C]; PMC12103725 Figure 2 [LEVEL_C]; PMC12892883 Figure 2 [LEVEL_C]; PMC12892883 Figure 4 [LEVEL_C],human; mouse; rat; zebrafish,12.0,A_secondary_validated,KO_blocks_maturation,0.48459,SPATIAL_AND_STATE_CONSISTENT,MATRIX_FAILURE_RISK,MGI records growth-plate or cartilage disorganization on loss of function; a longer but disorganized plate is not a functional gain,direct rare-variant skeletal phenotype,"Abnormality of the skeletal system; campomelic dysplasia; osteoarthritis, hip; osteoarthritis, knee",cancer; immune; developmental,PR:Database Ubiquitination; PR:UniProt Ubiquitination,abnormal Meckel's cartilage morphology; abnormal bone mineralization; abnormal cartilage development; abnormal humerus morphology; abnormal laryngeal cartilage morphology; abnormal long bone morphology; abnormal skeleton development; abnormal tracheal cartilage morphology; bowed tibia; increased width of hypertrophic chondrocyte zone; short snout,11371614; 11857796; 26234751,"An inducible, partial, chondrocyte-restricted knockdown of Sox9 in metatarsal explant carried to growth cessation. If plateau length is unchanged or lower than control while the rate rises, the effect is acceleration or exhaustion and the target is dead. Given MGI records growth-plate or cartilage disorganization on loss of function; a longer but di, this is the expected outcome.",Nothing currently justifies metatarsal testing for this gene: it fails gate A and a metatarsal experiment cannot recover a missing localization or reverse a recorded shortening phenotype.
Runx2,RUNX2,SPATIAL_VALIDATION_PENDING,1,False,non-chondrocyte signal present (marrow; osteoblast),True,passes,False,MGI records a shortening phenotype for loss of this gene (decreased body size; decreased length of long bones; disproportionate dwarf; dwarf; short limbs); reducing it further is the wrong direction,False,human phenotype is dysplastic; liabilities: cancer; immune; developmental,False,no directional intervention exists; stage 46 did not query pharmacology because the biology gate failed,LEVEL_A,hypertrophic,0.0,PMC13232623 Figure 7 [LEVEL_A]; PMC12122814 Fig. 8 [LEVEL_A]; PMC12585761 FIGURE 2 [LEVEL_B]; PMC12460606 Fig. 2 [LEVEL_B]; PMC12460606 Fig. 8 [LEVEL_B]; PMC10256685 Fig. 3 [LEVEL_B]; PMC13152850 FIGURE 7 [LEVEL_C]; PMC12460174 Extended Data Fig. 1 [LEVEL_C],human; mouse; rat; zebrafish,7.0,A_secondary_validated,KO_blocks_maturation,0.24545,SPATIAL_SIGNAL_STRONGER_THAN_STRESS,HYPERTROPHIC_OUTPUT_LOSS_RISK,MGI records a shortening phenotype for loss of this gene (decreased body size; decreased length of long bones; disproportionate dwarf; dwarf; short limbs); reducing it further is the wrong direction,direct rare-variant skeletal phenotype,Abnormality of the skeletal system; Metaphyseal dysplasia - maxillary hypoplasia - brachydacty; bone fracture; cleidocranial dysplasia 1; metaphyseal dysplasia-maxillary hypoplasia-brachydacty syndrome; osteoarthritis,cancer; immune; developmental,PR:Database Ubiquitination; PR:UniProt Ubiquitination; SM:Structure with Ligand,abnormal bone mineralization; abnormal bone ossification; abnormal cartilage development; abnormal cartilage morphology; abnormal chondrocyte morphology; abnormal craniofacial bone morphology; abnormal femur morphology; abnormal humerus morphology; abnormal limb development; abnormal long bone epiphyseal ossification zone morphology; abnormal long bone epiphyseal plate morphology; abnormal long bone epiphyseal plate proliferative zone,10072783; 10213384; 10213384|9182763; 10593408; 10593408|9182763; 11438701; 15007057; 19028669,"An inducible, partial, chondrocyte-restricted knockdown of Runx2 in metatarsal explant carried to growth cessation. If plateau length is unchanged or lower than control while the rate rises, the effect is acceleration or exhaustion and the target is dead. Given MGI records a shortening phenotype for loss of this gene (decreased body size; decreased l, this is the expected outcome.",Nothing currently justifies metatarsal testing for this gene: it fails gate A and a metatarsal experiment cannot recover a missing localization or reverse a recorded shortening phenotype.
Foxc1,FOXC1,SPATIAL_VALIDATION_PENDING,1,False,"evidence is LEVEL_C, and LEVEL_B is not replicated; non-chondrocyte signal present (osteoblast)",True,passes,False,MGI records a shortening phenotype for loss of this gene (short humerus; short limbs); reducing it further is the wrong direction,False,human phenotype is dysplastic; liabilities: vascular; developmental,False,no directional intervention exists; stage 46 did not query pharmacology because the biology gate failed,LEVEL_C,hypertrophic,0.0,PMC8383119 Figure 4 [LEVEL_C]; PMC8383119 Figure 5 [LEVEL_C]; PMC11361642 Fig. 4. [LEVEL_C]; PMC11361642 Fig. 7. [LEVEL_C]; PMC3868537 Figure 3 [LEVEL_C],human; mouse,3.0,A_secondary_validated,KO_blocks_maturation,0.72691,SPATIAL_AND_STATE_CONSISTENT,HYPERTROPHIC_OUTPUT_LOSS_RISK,MGI records a shortening phenotype for loss of this gene (short humerus; short limbs); reducing it further is the wrong direction,direct rare-variant skeletal phenotype,"Axenfeld-Rieger anomaly with partially absent eye muscles, distinctive face, hydrocephaly, and skeletal abnormalities",vascular; developmental,PR:Database Ubiquitination; PR:UniProt Ubiquitination,abnormal Reichert's cartilage morphology; abnormal arytenoid cartilage morphology; abnormal axial skeleton morphology; abnormal bone ossification; abnormal cartilage development; abnormal cartilage morphology; abnormal cervical vertebrae morphology; abnormal craniofacial bone morphology; abnormal craniofacial development; abnormal cricoid cartilage morphology; abnormal femur morphology; abnormal humerus morphology,25808752; 5500588; 9635428,"An inducible, partial, chondrocyte-restricted knockdown of Foxc1 in metatarsal explant carried to growth cessation. If plateau length is unchanged or lower than control while the rate rises, the effect is acceleration or exhaustion and the target is dead. Given MGI records a shortening phenotype for loss of this gene (short humerus; short limbs); red, this is the expected outcome.",Nothing currently justifies metatarsal testing for this gene: it fails gate A and a metatarsal experiment cannot recover a missing localization or reverse a recorded shortening phenotype.
Tsc2,TSC2,SPATIAL_VALIDATION_PENDING,1,False,"evidence is LEVEL_C, and LEVEL_B is not replicated",True,passes,False,knockout holds cells out of the matured population; delay is not scored as beneficial and there is no evidence it lengthens anything,False,human phenotype is dysplastic; liabilities: cancer; vascular; neural; developmental,False,no directional intervention exists; stage 46 did not query pharmacology because the biology gate failed,LEVEL_C,hypertrophic,0.0,PMC4472128 Figure 5 [LEVEL_C],mouse,1.0,A_secondary_validated,KO_blocks_maturation,0.1243,SPATIAL_AND_STATE_CONSISTENT,MATURATION_DELAY_ONLY,knockout holds cells out of the matured population; delay is not scored as beneficial and there is no evidence it lengthens anything,direct rare-variant skeletal phenotype,isolated focal cortical dysplasia type II,cancer; vascular; neural; developmental,AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data; PR:UniProt Ubiquitination,,,"An inducible, partial, chondrocyte-restricted knockdown of Tsc2 in metatarsal explant carried to growth cessation. If plateau length is unchanged or lower than control while the rate rises, the effect is acceleration or exhaustion and the target is dead. Given knockout holds cells out of the matured population; delay is not scored as beneficial and , this is the expected outcome.",Nothing currently justifies metatarsal testing for this gene: it fails gate A and a metatarsal experiment cannot recover a missing localization or reverse a recorded shortening phenotype.
Acvr1,ACVR1,SPATIAL_VALIDATION_PENDING,1,False,"evidence is LEVEL_C, and LEVEL_B is not replicated",True,passes,False,MGI records a shortening phenotype for loss of this gene (short femur); reducing it further is the wrong direction,False,human phenotype is dysplastic; liabilities: cancer; neural,False,no directional intervention exists; stage 46 did not query pharmacology because the biology gate failed,LEVEL_C,terminal_hypertrophic,0.0,PMC5797136 Fig. 3 [LEVEL_C],mouse,1.0,A_secondary_validated,KO_promotes_maturation,0.14182,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,HYPERTROPHIC_OUTPUT_LOSS_RISK,MGI records a shortening phenotype for loss of this gene (short femur); reducing it further is the wrong direction,fine-mapped coding variant,bone disorder; fibrodysplasia ossificans progressiva; spondylolisthesis,cancer; neural,AB:GO CC high conf; AB:UniProt SigP or TMHMM; OC:Approved Drug; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; SM:Druggable Family; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Structure with Ligand,abnormal cervical vertebrae morphology; broad femur neck; short femur neck; skeletal muscle degeneration; vertebral fusion,22508565,"An inducible, partial, chondrocyte-restricted knockdown of Acvr1 in metatarsal explant carried to growth cessation. If plateau length is unchanged or lower than control while the rate rises, the effect is acceleration or exhaustion and the target is dead. Given MGI records a shortening phenotype for loss of this gene (short femur); reducing it furthe, this is the expected outcome.",Nothing currently justifies metatarsal testing for this gene: it fails gate A and a metatarsal experiment cannot recover a missing localization or reverse a recorded shortening phenotype.
Hdac5,HDAC5,SPATIAL_VALIDATION_PENDING,1,False,"evidence is LEVEL_C, and LEVEL_B is not replicated; non-chondrocyte signal present (marrow)",True,passes,False,the screen says knockout drives cells into the matured population and no length phenotype is recorded; acceleration without a measured length is not growth,False,human phenotype is dysplastic; liabilities: cancer; developmental,False,no directional intervention exists; stage 46 did not query pharmacology because the biology gate failed,LEVEL_C,hypertrophic,0.0,PMC12743641 Figure 9. [LEVEL_C],mouse,1.0,A_secondary_validated,KO_promotes_maturation,0.3082,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,MATURATION_ACCELERATOR,the screen says knockout drives cells into the matured population and no length phenotype is recorded; acceleration without a measured length is not growth,fine-mapped coding variant,bone fracture; osteoporosis,cancer; developmental,OC:Approved Drug; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:Approved Drug; SM:Druggable Family; SM:High-Quality Ligand; SM:Structure with Ligand,,,"An inducible, partial, chondrocyte-restricted knockdown of Hdac5 in metatarsal explant carried to growth cessation. If plateau length is unchanged or lower than control while the rate rises, the effect is acceleration or exhaustion and the target is dead. Given the screen says knockout drives cells into the matured population and no length phenotype , this is the expected outcome.",Nothing currently justifies metatarsal testing for this gene: it fails gate A and a metatarsal experiment cannot recover a missing localization or reverse a recorded shortening phenotype.
Ezh2,EZH2,SPATIAL_VALIDATION_PENDING,1,False,"evidence is LEVEL_D, and LEVEL_B is not replicated; no growth-plate compartment resolved; non-chondrocyte signal present (nan)",True,passes,False,the screen says knockout drives cells into the matured population and no length phenotype is recorded; acceleration without a measured length is not growth,False,human genetic support is positional association only; human phenotype is dysplastic; liabilities: cancer; developmental,False,no directional intervention exists; stage 46 did not query pharmacology because the biology gate failed,LEVEL_D,,0.0,PMC12822469 Figure 3; PMC5670205 Fig. 5; PMC5477487 Figure 3,,3.0,A_secondary_validated,KO_promotes_maturation,0.35439,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,MATURATION_ACCELERATOR,the screen says knockout drives cells into the matured population and no length phenotype is recorded; acceleration without a measured length is not growth,positional association only,,cancer; developmental,PR:Database Ubiquitination; PR:Literature; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:Approved Drug; SM:High-Quality Ligand; SM:Structure with Ligand,increased femur compact bone thickness; increased internal diameter of femur; increased sacral vertebrae number,38015625,"An inducible, partial, chondrocyte-restricted knockdown of Ezh2 in metatarsal explant carried to growth cessation. If plateau length is unchanged or lower than control while the rate rises, the effect is acceleration or exhaustion and the target is dead. Given the screen says knockout drives cells into the matured population and no length phenotype , this is the expected outcome.",Nothing currently justifies metatarsal testing for this gene: it fails gate A and a metatarsal experiment cannot recover a missing localization or reverse a recorded shortening phenotype.
Brd4,,SPATIAL_VALIDATION_PENDING,1,False,"evidence is LEVEL_D, and LEVEL_B is not replicated; no growth-plate compartment resolved; non-chondrocyte signal present (nan)",True,passes,False,"MGI records a shortening phenotype for loss of this gene (short tibia), so reducing it is the wrong direction - but no intact-tissue evidence resolves which compartment it acts in, so the term of the growth equation being lost cannot be named",False,human genetic support is positional association only; human phenotype is dysplastic; liabilities: cancer; neural; developmental,False,no directional intervention exists; stage 46 did not query pharmacology because the biology gate failed,LEVEL_D,,0.0,PMC12536888 FIGURE 1,,1.0,A_secondary_validated,KO_blocks_maturation,0.81276,COMPUTATIONAL_LOCALIZATION_UNRELIABLE,UNKNOWN_DIRECTION,"MGI records a shortening phenotype for loss of this gene (short tibia), so reducing it is the wrong direction - but no intact-tissue evidence resolves which compartment it acts in, so the term of the growth equation being lost cannot be named",positional association only,,cancer; neural; developmental,PR:Database Ubiquitination; PR:Half-life Data; PR:Literature; PR:Small Molecule Binder; PR:UniProt Ubiquitination; SM:Advanced Clinical; SM:Druggable Family; SM:High-Quality Ligand; SM:Med-Quality Pocket; SM:Structure with Ligand,abnormal craniofacial bone morphology; short tibia,11997514,"An inducible, partial, chondrocyte-restricted knockdown of Brd4 in metatarsal explant carried to growth cessation. If plateau length is unchanged or lower than control while the rate rises, the effect is acceleration or exhaustion and the target is dead. Given MGI records a shortening phenotype for loss of this gene (short tibia), so reducing it is , this is the expected outcome.",Nothing currently justifies metatarsal testing for this gene: it fails gate A and a metatarsal experiment cannot recover a missing localization or reverse a recorded shortening phenotype.
Junb,JUNB,SPATIAL_VALIDATION_PENDING,0,False,"evidence is LEVEL_B, and LEVEL_B is not replicated; no growth-plate compartment resolved",False,"CRISPR tier is B_primary_reproducible, not secondary-validated",False,the screen says knockout drives cells into the matured population and no length phenotype is recorded; acceleration without a measured length is not growth,False,human genetic support is positional association only; human phenotype is dysplastic; liabilities: cancer,False,no directional intervention exists; stage 46 did not query pharmacology because the biology gate failed,LEVEL_B,,0.0,PMC8293626 Figure 7 [LEVEL_B],chick; human; mouse; rat,1.0,B_primary_reproducible,KO_promotes_maturation,0.03945,STRESS_DOMINATED_BUT_SPATIAL_VALIDATED,MATURATION_ACCELERATOR,the screen says knockout drives cells into the matured population and no length phenotype is recorded; acceleration without a measured length is not growth,positional association only,,cancer,PR:Database Ubiquitination; PR:UniProt Ubiquitination,,,"An inducible, partial, chondrocyte-restricted knockdown of Junb in metatarsal explant carried to growth cessation. If plateau length is unchanged or lower than control while the rate rises, the effect is acceleration or exhaustion and the target is dead. Given the screen says knockout drives cells into the matured population and no length phenotype , this is the expected outcome.",Nothing currently justifies metatarsal testing for this gene: it fails gate A and a metatarsal experiment cannot recover a missing localization or reverse a recorded shortening phenotype.
