step,assay,purpose,readout,is_counter_screen,kill_rule
1,binding to recombinant STC2,primary binding triage,SPR / BLI KD,False,no measurable binding
2,RESTORATION of PAPP-A cleavage of INTACT IGFBP-4 in the presence of STC2,THE primary functional endpoint - does the binder relieve inhibition,"initial velocity of intact IGFBP-4 cleavage, PAPP-A + STC2 + binder versus PAPP-A + STC2",False,"no restoration - a binder that binds STC2 without relieving inhibition is not a hit, however good its KD"
3,short-peptide cleavage comparator,confirms the assay is reporting exosite relief and not a change in catalysis,26-mer quenched-fluorescence cleavage,False,"a binder that changes peptide cleavage is acting on the enzyme, not on the inhibitor"
4,no direct activation of IGF1R,"counter-screen - the binder must work through the axis, not around it","p-IGF1R in a responsive line, binder alone",True,any direct receptor activation
5,no inhibition of PAPP-A,counter-screen - the failure mode this campaign exists to avoid,"PAPP-A + binder, intact IGFBP-4 cleavage, no STC2 present",True,"any reduction in cleavage. A binder that inhibits PAPP-A is phenocopying PA141 and STC2, i.e. the opposite intervention"
6,no binding to STC1,counter-screen - STC1 is the paralogous inhibitor and lacks the C120 counterpart,SPR against recombinant STC1,True,cross-reactivity is not automatically fatal but must be measured and declared; an unmeasured cross-reactivity is
7,no interference with IGFBP-4,counter-screen - a binder that sequesters the substrate would raise free IGF by the wrong route,binding to IGFBP-4 and to the IGF-IGFBP-4 complex,True,direct IGFBP-4 binding
8,no nonspecific thiol chemistry,counter-screen - C120 is a free cysteine in the uncomplexed inhibitor and an obvious magnet for covalent artefacts,activity with and without reducing agent; mass spectrometry for adduct formation; counter-test against an unrelated free-thiol protein,True,"reducing-agent-dependent activity, or adducts by MS"
9,no aggregation,counter-screen - aggregation produces apparent potency in almost any biochemical assay,DLS / SEC; detergent-sensitivity of the functional effect,True,detergent-sensitive activity or measurable aggregate
10,orthogonal-format confirmation,removes format-specific artefacts,repeat step 2 in a different assay format and with independently produced protein,True,effect does not reproduce
11,cellular restoration,does relief of inhibition happen in a cell that makes its own STC2,IGFBP-4 cleavage and p-IGF1R in a cell system,False,no cellular effect - biochemistry that does not translate to a cell will not translate to a growth plate
12,ex vivo restoration in normal postnatal bone,the handover to stage 92's augmentation logic,intact vs cleaved IGFBP-4 and free IGF in microdissected terminal zone,False,"no terminal-zone engagement - and, per every prior stage, no interpretation at all without demonstrated penetration"
