mouse_gene,pmcid,figure,panel_inspected,what_is_visible,signal_class,adjacent_zone_signal,controls_visible,reagent_validated,expression_or_morphology,image_quality,quantification_possible,revised_call,changes_stage42,changes_flag,native_resolution,view_path,best_evidence_level,spatial_top_zone,spatial_class
Ptch1,PMC10906233,Figure 2,"J (Ptch1 RNAscope on tdTomato+ clones), K (per-cell quantification); A-I are H&E, Safranin-O and tdTomato lineage tracing","Panels A-I show control versus Ptch1 cKO morphology and traced clones - mutant phenotype, not expression. Panel J is the only Ptch1 expression image: cyan RNAscope puncta scattered sparsely among red tdTomato+ columnar chondrocytes. The field is cropped to the traced clone; no full growth plate is shown, so resting-versus-hypertrophic comparison is not in frame.",broadly chondrocytic,not assessable - only the traced clone is in frame,"genotype controls (WT, cHet, cKO) present; no probe negative control visible",True,mixed: one expression panel inside a mutant-morphology figure,"good (779x1069, confocal)",True,sparse punctate chondrocytic signal within traced columns; no zonal map,YES - stage 42 called this RESTING_ZONE via body text about PTHrP+ resting cells. The image does not show a zonal Ptch1 distribution at all.,True,779x1069,/home/user/logpretty-cli/gp-discovery/results/stage48/panels/Ptch1_PMC10906233_Figure2.jpg,LEVEL_A,resting,DEVELOPMENTALLY_VARIABLE
Runx2,PMC13232623,Figure 7,"L, M (RUNX2 immunofluorescence, tibial growth plate), T (integrated density by region)","Red RUNX2 signal is genuinely graded along the plate: weak in the columnar zone, stronger in the hypertrophic zone, strongest in the primary spongiosa immediately below - i.e. the brightest compartment is bone, not cartilage. Panels A-K are H&E morphometry of the Runx2-GFP allele.",sharply zonal,columnar zone clearly lower but not absent,WT versus Runx2GFP/GFP genotype pair; no isotype or secondary-only control visible,False,"expression (L, M) within a figure whose other panels are mutant morphology",good (780x1383),True,hypertrophic-to-osteoblastic gradient; the peak is osteoblastic,"PARTLY - the hypertrophic call survives but is confounded by a stronger osteoblastic signal directly beneath, which stage 42's contamination test flagged and the image confirms.",True,780x1383,/home/user/logpretty-cli/gp-discovery/results/stage48/panels/Runx2_PMC13232623_Figure7.jpg,LEVEL_A,hypertrophic,MULTIZONAL
Sox9,PMC12685720,Figure 2,"A-C (SOX9 immunofluorescence, cyan, E13.5 limb), E, F (Sox9-creER tdTomato lineage at P21 and 3 months)","The only SOX9 expression panels are embryonic (E13.5) and show broad cyan staining across the whole cartilage anlage with no zonal architecture - at that stage there is no growth plate. Panels E and F are lineage tracing: red marks descendants of Sox9-expressing cells and covers cartilage, perichondrium, periosteum and marrow vasculature. That is fate, not expression.",broadly chondrocytic,no zones exist at the stage where expression is shown,quantified per compartment in panel D; no antibody negative control visible,False,expression (embryonic) plus lineage tracing (postnatal),good (800x1213),True,"broad chondrocytic expression in embryonic anlage; postnatal signal is lineage, not expression",YES - stage 42's PERICHONDRIAL top zone came from lineage-tracing captions. Lineage labelling of the perichondrium does not mean SOX9 is expressed there now.,True,800x1213,/home/user/logpretty-cli/gp-discovery/results/stage48/panels/Sox9_PMC12685720_Figure2.jpg,LEVEL_A,perichondrial,MULTIZONAL
Foxc1,PMC8383119,Figure 4,"D (Foxc1 dark-field ISH, 16.5 dpc), G-I (high magnification of boxed regions)","Red Foxc1 signal forms a thin continuous rim around the outside of the cartilage element and extends into surrounding mesenchyme. The cartilage core is dark. High-magnification panels G-I confirm the signal sits at the perichondrial surface, not in the chondrocyte columns. All panels are embryonic (12.5-16.5 dpc).",perichondrial,cartilage interior essentially negative,Foxc2 shown in parallel channel; no sense-probe control visible,False,expression,"moderate (708x1058, dark-field)",False,"perichondrial and peri-skeletal mesenchyme, embryonic only","YES - stage 42 called Foxc1 hypertrophic. The image shows perichondrium, and at an embryonic stage with no postnatal growth-plate zonal architecture.",True,708x1058,/home/user/logpretty-cli/gp-discovery/results/stage48/panels/Foxc1_PMC8383119_Figure4.jpg,LEVEL_C,hypertrophic,MULTIZONAL
Tsc2,PMC4472128,Figure 5,"b (TSC2 immunofluorescence, green, with IgG isotype control panel); a is a western blot","Green TSC2 signal is present across the columnar chondrocytes in the field, somewhat stronger toward the lower (maturing) edge. The field is cropped to columns only - resting and terminal hypertrophic zones are outside the frame, so no zonal comparison is possible. An IgG isotype control panel is shown and is clean.",broadly chondrocytic,not in frame,IgG isotype control visible and negative - the best control in the whole audit,True,expression,"good (679x689, confocal)",True,broadly chondrocytic across the columnar field; zone not determinable,"YES - stage 42's hypertrophic call cannot be supported by this figure, because the hypertrophic zone is not in the image.",True,679x689,/home/user/logpretty-cli/gp-discovery/results/stage48/panels/Tsc2_PMC4472128_Figure5.jpg,LEVEL_C,hypertrophic,UNRESOLVED
Junb,PMC8293626,Figure 7,"B, C (Jun-B immunostaining, red, with Pdgfra-GFP and PDGFRb); D-G are Junb-iDeltaMSC mutant phenotype","The growth plate is labelled 'gp' and bounded by a dashed line at the top of panels B and D. All Jun-B-positive cells (arrowheads) lie BELOW that line, in the metaphyseal marrow among PDGFRb+ perivascular stromal cells. There is no Jun-B signal inside the growth plate.",marrow-associated,growth plate itself is negative,no negative control visible,False,expression,"good (745x666, confocal)",True,"metaphyseal perivascular stroma, outside the growth plate entirely",YES - Junb is not a growth-plate gene. Stage 42 had it UNRESOLVED with no zone; the image puts it outside the tissue.,True,745x666,/home/user/logpretty-cli/gp-discovery/results/stage48/panels/Junb_PMC8293626_Figure7.jpg,LEVEL_B,,UNRESOLVED
Hdac5,PMC12743641,Figure 9,A-L (HDAC5 immunohistochemistry across ages in mandibular condyle),Sparse brown DAB signal concentrated in ring-shaped vascular or canal structures within the condylar tissue and subchondral bone; chondrocyte staining is faint to absent. The tissue is mandibular condylar cartilage - a secondary cartilage - not a long-bone growth plate.,vascular,no long-bone zones present,no negative control visible,False,expression,poor (646x328 for a 12-panel composite; individual panels are very small),False,vascular/canal-associated staining in condylar cartilage; wrong tissue,YES - stage 42's hypertrophic call rests on a tissue that has no growth-plate zones.,True,,,LEVEL_C,hypertrophic,UNRESOLVED
Acvr1,PMC5797136,Fig. 3,j-m (ACVR1 immunohistochemistry in heterotopic ossification lesions); a-i are microCT and skeletal preparations,"Brown ACVR1 staining covers ectopic cartilage, ectopic bone and adjacent muscle in a heterotopic ossification lesion from an Acvr1 R206H mouse. Staining is broad rather than compartment-restricted. No growth plate appears anywhere in the figure, and there is no normal-tissue comparator.",diffuse/background,no growth-plate zones present,panel k appears to be a lower-signal region; no formal negative control labelled,False,"expression, but in disease tissue",moderate (656x1001),False,diffuse staining in ectopic HO cartilage and muscle; not growth plate,"YES - excluded under the brief's own rule: disease tissue with no normal comparator, and not a growth plate.",True,656x1001,/home/user/logpretty-cli/gp-discovery/results/stage48/panels/Acvr1_PMC5797136_Fig3.jpg,LEVEL_C,terminal_hypertrophic,UNRESOLVED
Ezh2,PMC5477487,Figure 3,"a-c (BrdU immunohistochemistry in growth plate), f (Ezh2 qPCR by laser-captured zone)","There is no Ezh2 image. Panels a-c stain BrdU, i.e. proliferation, in WT and Ezh2 mutant plates. The zonal Ezh2 information is panel f, a qPCR series on laser-captured resting, proliferative and hypertrophic zones showing Ezh2 highest in the resting zone and declining. That is zone-resolved but it is not an image.",uninterpretable,not assessable from an image,"IgG control shown for the ChIP panel (g), not for any imaging",False,morphology plus non-spatial assay,moderate (788x559),False,no imaging evidence; laser-capture qPCR suggests resting-zone enrichment,NO CHANGE - already LEVEL_D. The qPCR observation is recorded but is not spatial evidence.,False,788x559,/home/user/logpretty-cli/gp-discovery/results/stage48/panels/Ezh2_PMC5477487_Figure3.jpg,LEVEL_D,,UNRESOLVED
Brd4,PMC12536888,FIGURE 1,"L (BRD4 immunohistochemistry, sham versus ovariectomised trabecular bone); the rest are heatmaps, violin plots, western and microCT",The only stained tissue is adult trabecular bone and marrow from an osteoporosis model. There is no growth plate in the figure. Brown BRD4 signal is in marrow and bone-surface cells.,marrow-associated,no growth plate present,no negative control visible,False,expression,poor (560x527 for a 14-panel figure),False,adult marrow and bone surface; wrong tissue and wrong age,"NO CHANGE - already LEVEL_D, and the image confirms there is no growth-plate content.",False,560x527,/home/user/logpretty-cli/gp-discovery/results/stage48/panels/Brd4_PMC12536888_FIGURE1.jpg,LEVEL_D,,UNRESOLVED
