candidate,role_after_stage19_21,mechanism_defined,primary_target,primary_potency_nM,selectivity_margin_fold,n_geo_series_cartilage,n_pubmed_cartilage,transfer_evidence,chronic_use_liability,probe_score,documented_hazard,is_probe_only,intervention_viability,sc_mechanism,sc_selectivity,sc_transfer,pen_hazard,revised_score
laduviglusib,FALSIFICATION ARM - tests arm B and the precocious-remodeling hazard,True,glycogen synthase kinase 3 beta,6.31,1258.9,16.0,15.0,dataset-level,"tool compound, no chronic human use",3.2511298727518056,"GSK3a/b deletion causes precocious growth-plate remodeling in vivo (PMID 33609145) - predicts plate exhaustion, i.e. a shorter bone",True,no - target-class hazard predicts precocious plate remodeling,1.0,1.0,1.0,1.2,2.0
GF109203X,FIRST-LINE PROBE - tests arm A (PKC) with the best cartilage precedent,True,protein kinase C beta,15.849,,0.0,9.0,literature-only,"tool compound, no chronic human use",2.532969032032421,tool compound; no chronic human use,True,no - tool compound / control,1.0,0.4,0.3321928094887363,0.0,1.9321928094887364
linagliptin,SAFETY COMPARATOR - only panel member plausible for chronic use,True,dipeptidyl peptidase 4,1.0,,0.0,2.0,literature-only,low - approved chronic-use drug,2.7647621529106483,low - approved chronic-use drug,False,"possible - approved chronic-use drug, but no cartilage mechanism",1.0,0.4,0.15849625007211565,0.0,1.7584962500721157
tideglusib,FALSIFICATION ARM - second GSK3B mechanism,True,glycogen synthase kinase 3 beta,50.119,,0.0,0.0,none,"tool compound, no chronic human use",2.514609375361877,same target class hazard as laduviglusib (PMID 33609145),True,no - target-class hazard predicts precocious plate remodeling,1.0,0.4,0.0,0.0,1.6
niclosamide,ASSAY-SENSITIVITY CONTROL ONLY,True,K<sub>Na</sub>1.1,3162.278,,0.0,2.0,literature-only,pleiotropic/mitochondrial uncoupler,1.4546583095828316,pleiotropic mitochondrial uncoupler; 82 distinct active assay targets,True,no - tool compound / control,1.0,0.4,0.15849625007211565,0.7,1.0584962500721158
enzastaurin,"COMPARATOR - PKCbeta-selective, oncology liability",True,protein kinase C beta,31.623,,0.0,1.0,literature-only,oncology development compound,2.3387580802788186,oncology development compound,True,no - tool compound / control,1.0,0.4,0.1,0.7,1.0000000000000002
Go 6976,"CONTRAST PROBE - classical-only isoforms, FLT3-confounded",True,fms related receptor tyrosine kinase 3,0.794,25.1,0.0,6.0,literature-only,"tool compound, no chronic human use",2.249300622590127,"most potent GtoPdb target is FLT3, not PKC - confounded as a PKC probe",True,no - tool compound / control,1.0,0.0,0.28073549220576044,0.7,0.7807354922057603
calphostin C,"ORTHOGONAL PROBE - different site, kills the ATP-artifact explanation",False,,,,0.0,9.0,literature-only,"tool compound, no chronic human use",1.6426563191598549,light-activated; no numeric affinity; tool compound only,True,no - tool compound / control,0.0,0.4,0.3321928094887363,0.0,0.7321928094887363
sotrastaurin,"INDEX PROBE ONLY - demoted from lead; pathway probe, not a candidate",True,protein kinase C theta,1.0,50.0,0.0,3.0,literature-only,immunosuppressant by design (PKCtheta is the TCR node),2.483324825506486,immunosuppressant by design (PKCtheta is the T-cell receptor node); phase 2 only; chronic paediatric exposure not acceptable,True,"no - immunosuppressant, phase 2, no transfer evidence",1.0,0.17602376069851197,0.2,1.0,0.5760237606985119
bisindolylmaleimide V,NEGATIVE CONTROL,False,,,,0.0,0.0,none,"tool compound, no chronic human use",1.5,negative control by design,True,no - tool compound / control,0.0,0.4,0.0,0.0,0.4
