claim,query,required_terms,europepmc_records,records_examined,records_stating_the_claim,status,top_pmids,top_titles
PAPP-A cleaves IGFBP-4,"(PAPPA OR ""PAPP-A"" OR ""pregnancy-associated plasma protein-A"") AND ""IGFBP-4"" AND (cleav* OR proteolysis OR substrate)",(papp-a/pappa/pregnancy-associated plasma protein) AND (igfbp-4/igfbp4/binding protein-4) AND (cleav/proteoly/substrate/protease/proteinase),432,25,9,supported - multiple records state the claim,42491477; 41898621; 42419668; 39244846; 38141219,"2026 Size in small-for-gestational-age neonates correlates with insulin-like growth factor-binding protein proteolysis and insulin-like growth factor-I bioavailability. || 2026 Left Ventricular and Right Ventricular Hypertrophy Modelling to Study PAPP-A-Mediated IGFBP-4 Cleavage-a Mechanism That Regulates IGF Bioavailability in Adult Rats. || 2026 NT-IGFBP-4: A novel biomarker for risk prediction in acute heart failure. || 2024 Specific cleavage of IGFBP-4 by papp-a in nervous tissue. || 2024 Increased IGFBP Proteolysis, IGF-I Bioavailability, and Pappalysin Levels in Children With Prader-Willi Syndrome."
PAPP-A2 cleaves IGFBP-3,"(""PAPP-A2"" OR PAPPA2 OR pappalysin-2) AND ""IGFBP-3"" AND (cleav* OR proteolysis OR substrate)",(papp-a2/pappa2/pappalysin-2) AND (igfbp-3/igfbp3/binding protein-3) AND (cleav/proteoly/substrate/protease/proteinase),127,25,9,supported - multiple records state the claim,42491477; 38141219; 38245583; 38066647; 41691624,"2026 Size in small-for-gestational-age neonates correlates with insulin-like growth factor-binding protein proteolysis and insulin-like growth factor-I bioavailability. || 2024 Increased IGFBP Proteolysis, IGF-I Bioavailability, and Pappalysin Levels in Children With Prader-Willi Syndrome. || 2024 Pregnancy associated plasma protein-A2 (PAPP-A2) and stanniocalcin-2 (STC2) but not PAPP-A are associated with circulating total IGF-1 in a human adult population. || 2024 Reduction in Pappalysin-2 Levels and Lower IGF-I Bioavailability in Female Adolescents With Anorexia Nervosa. || 2026 Insulin-like growth factor signaling regulates zebrafish lymphatic-vessel development."
PAPP-A2 cleaves IGFBP-5,"(""PAPP-A2"" OR PAPPA2 OR pappalysin-2) AND ""IGFBP-5"" AND (cleav* OR proteolysis OR substrate)",(papp-a2/pappa2/pappalysin-2) AND (igfbp-5/igfbp5/binding protein-5) AND (cleav/proteoly/substrate/protease/proteinase),162,25,7,supported - multiple records state the claim,42491477; 41993134; 41563143; 38141219; 38245583,"2026 Size in small-for-gestational-age neonates correlates with insulin-like growth factor-binding protein proteolysis and insulin-like growth factor-I bioavailability. || 2026 &lt;i&gt;PAPPA2&lt;/i&gt; c.392G&gt;C Heterozygous Mutation Associates Primary Open-Angle Glaucoma in a Chinese Family. || 2026 Comprehensive Analysis of PAPPA2 Expression and Genetic Variants in Sheep and Their Association With Litter Size. || 2024 Increased IGFBP Proteolysis, IGF-I Bioavailability, and Pappalysin Levels in Children With Prader-Willi Syndrome. || 2024 Pregnancy associated plasma protein-A2 (PAPP-A2) and stanniocalcin-2 (STC2) but not PAPP-A are associated with circulating total IGF-1 in a human adult population."
STC2 inhibits PAPP-A,"(STC2 OR stanniocalcin-2) AND (""PAPP-A"" OR PAPPA) AND (inhibit* OR complex OR covalent)",(stc2/stanniocalcin-2/stanniocalcin 2) AND (papp-a/pappa/pappalysin) AND (inhibit/complex/covalent/bind),217,25,12,supported - multiple records state the claim,41528724; 41573204; 40084812; 39043147; 39308741,2026 IGF-I bioavailability in congenital isolated growth hormone deficiency. || 2025 Stc2a inhibits IGF-stimulated somatic growth in favor of organismal survival under hypoxic stress. || 2025 The Proteinase PAPP-A has Deep Evolutionary Roots Outside of the IGF System. || 2024 Palmitic Acid Modulation of the Insulin-Like Growth Factor System in Hypothalamic Astrocytes and Neurons. || 2024 The pro-atherogenic enzyme PAPP-A is active in eluates from human carotid and femoral atherosclerotic plaques.
STC1 inhibits PAPP-A,"(STC1 OR stanniocalcin-1) AND (""PAPP-A"" OR PAPPA) AND (inhibit* OR complex)",(stc1/stanniocalcin-1/stanniocalcin 1) AND (papp-a/pappa/pappalysin) AND (inhibit/complex/covalent/bind),205,25,5,supported - multiple records state the claim,40084812; 38396692; 38436415; 35902207; 35588861,2025 The Proteinase PAPP-A has Deep Evolutionary Roots Outside of the IGF System. || 2024 The IGF-PAPP-A-Stanniocalcin Axis in Serum and Ascites Associates with Prognosis in Patients with Ovarian Cancer. || 2024 Dynamics of IGF Signaling During the Ovulatory Peak in Women Undergoing Ovarian Stimulation. || 2022 Pappalysins and Stanniocalcins and Their Relationship With the Peripheral IGF Axis in Newborns and During Development. || 2022 Increased activity of the metalloproteinase PAPP-A promotes diabetes-induced glomerular hypertrophy.
STC2-PAPP-A inhibition is covalent,"(STC2 OR stanniocalcin-2) AND (""PAPP-A"" OR PAPPA) AND (covalent OR ""disulfide"" OR ""disulphide"")",(stc2/stanniocalcin-2/stanniocalcin 2) AND (papp-a/pappa/pappalysin) AND (covalent/disulfide/disulphide),62,25,2,weak - one or two records state the claim,36257932; 36550107,2022 Structure of the proteolytic enzyme PAPP-A with the endogenous inhibitor stanniocalcin-2 reveals its inhibitory mechanism. || 2022 Structural insights into the covalent regulation of PAPP-A activity by proMBP and STC2.
STC2 coding variants associate with HUMAN height,"(STC2 OR stanniocalcin-2) AND (height OR stature) AND (human OR ""UK Biobank"" OR exome OR population) AND (variant OR allele OR missense)",(stc2/stanniocalcin-2/stanniocalcin 2) AND (height/stature) AND (human/biobank/men and women/individuals/population) AND (variant/allele/missense/r44l/polymorphism),157,25,1,weak - one or two records state the claim,33142306,2021 Does height and IGF-I determine pubertal timing in girls?
PAPP-A2 deficiency causes short stature in humans,"(PAPPA2 OR ""PAPP-A2"") AND (""short stature"" OR ""growth failure"") AND (mutation OR deficiency OR patients)",(papp-a2/pappa2) AND (short stature/growth failure/growth retardation) AND (mutation/deficien/patient/children/sibling),199,25,8,supported - multiple records state the claim,42125896; 41528724; 39279312; 38589872; 34272725,"2026 Sex-specific hormonal rescue of bone growth in PAPPA2-deficient mice : a role for cannabinoid receptors and STAT3. || 2026 IGF-I bioavailability in congenital isolated growth hormone deficiency. || 2024 Genetic analysis of the PAPP-A2 gene and evaluation of free IGF-1, IGFBP-5, and ALS concentrations in a group of 22 patients with idiopathic short stature. || 2024 Sex-based differences in growth-related IGF1 signaling in response to PAPP-A2 deficiency: comparative effects of rhGH, rhIGF1 and rhPAPP-A2 treatments. || 2021 Short stature with low insulin-like growth factor 1 availability due to pregnancy-associated plasma protein A2 deficiency in a Saudi family."
PAPP-A knockout mice are small,"(""PAPP-A"" OR PAPPA) AND (mice OR mouse) AND (knockout OR ""null"" OR deficient) AND (size OR growth OR weight OR length OR dwarf)",(papp-a/pappa) AND (mice/mouse/murine) AND (knockout/null/deficient/-/-) AND (small/dwarf/reduced size/decreased size/body weight/growth),3203,25,4,supported - multiple records state the claim,42125896; 39215168; 40683301; 40327717,2026 Sex-specific hormonal rescue of bone growth in PAPPA2-deficient mice : a role for cannabinoid receptors and STAT3. || 2024 The metalloproteinase PAPP-A is required for IGF-dependent chondrocyte differentiation and organization. || 2025 PAPPA's role in female reproduction. || 2025 DNA hydroxy methylases Tet1 and Tet2 regulate bone aging and bone marrow stromal cell metabolism through the IGF-1/mTOR signaling axis.
STC2 knockout or overexpression changes mouse growth,"(STC2 OR stanniocalcin-2) AND (mice OR mouse) AND (knockout OR ""null"" OR transgenic OR overexpress*) AND (overgrowth OR growth OR ""body length"" OR size)",(stc2/stanniocalcin-2/stanniocalcin 2) AND (mice/mouse/murine) AND (knockout/null/transgenic/overexpress/deficient) AND (growth/body length/size/overgrowth/dwarf),2176,25,2,weak - one or two records state the claim,41843316; 41248659,2026 STC2 promotes colorectal cancer progression via c-Myc-mediated glycolysis and the PI3K/AKT/mTOR pathway. || 2025 Animal study on stanniocalcin 2 (STC2) and gastric cancer metastasis: discussing possible molecular mechanisms.
