pert_iname,primary_target,mechanism_family,role,smiles,vendor,catalog_no,expected_mass,solubility_constraint,exposure_schedule,concentration_basis,potency_nM,potency_parameter,potency_species,range_finding_low_nM,range_finding_high_nM,n_concentrations_required,primary_screen_concentration_rule,range_finding_required,note
acalabrutinib,BTK,kinase,discovery compound,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(cc2)C(=O)Nc2ccccn2)c2c(N)nccn12,MedChemEx,HY-17600,465.191,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),1000.0,pEC50,Human,3000.0,30000.0,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
acebutolol,ADRB1,GPCR,discovery compound,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,MicroSource,1500665,336.205,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),398.107,pKi,Human,1194.321,11943.21,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
aceclofenac,PTGS2,GPCR,discovery compound,OC(=O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,MicroSource,1502375,353.022,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
acefylline,ADORA1,GPCR,discovery compound,Cn1c2ncn(CC(O)=O)c2c(=O)n(C)c1=O,Prestwick,Prestw-1507,238.07,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
acetyl-farnesyl-cysteine,PPARG,epigenetic (selective probe),discovery compound,CC(C)=CCC\C(C)=C\CC\C(C)=C\CSC[C@H](NC(C)=O)C(O)=O,Enzo,G200,367.218,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
acrivastine,HRH1,GPCR,discovery compound,Cc1ccc(cc1)C(=C/CN1CCCC1)\c1cccc(\C=C\C(O)=O)n1,Enzo,AC3005,348.184,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
adiphenine,CHRNA1,GPCR,discovery compound,CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,MedChemEx,HY-B0379A,311.189,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
albuterol,ADRB2,GPCR,discovery compound,CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1 |&1:6|,Selleck,S2507,337.12,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),19952.623,pKi,Human,59857.869,598578.69,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
allopurinol,XDH,metabolic,discovery compound,O=c1nc[nH]c2n[nH]cc12,Selleck,S1630,136.039,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),3981.072,pIC50,Human,11943.216,119432.16,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
alogliptin,DPP4,protease,discovery compound,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,Selleck,S2868,339.17,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),3.162,pIC50,Human,9.486,94.86,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
ambroxol,CYP3A4,ion channel,discovery compound,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1 |r|,Tocris,2404,375.979,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
aminopentamide,CHRM1,GPCR,discovery compound,CC(CC(C(N)=O)(c1ccccc1)c1ccccc1)N(C)C,MicroSource,1505650,296.189,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,,,5,half-log ladder spanning the solubility limit downward by 4 logs; screen concentration is the highest non-toxic step,True,no concentration is assigned here; none is invented
amisulpride,DRD2,GPCR,discovery compound,"CCN1CCC[C@@H]1CNC(=O)c1cc(c(N)cc1OC)S(=O)(=O)CC |&1:6,r|",Tocris,2132,369.172,"DMSO stock; final vehicle fixed at 0.1% across the plate, so the top testable concentration is set by stock solubility at 1000x",primary screen: continuous. Pulse and washout arms are applied to Tier-1 hits in the stage-53 secondary panel.,primary potency (Guide to Pharmacology),12.589,pKi,Human,37.767,377.67,3,the highest range-finding concentration that leaves EdU index and viability indistinguishable from vehicle,True,"3x to 30x the reported affinity brackets target engagement without committing to a number; the exact screen concentration comes from the range-finding read, not from this row"
