category,compound,pubchem_cid,direct_target,direction,rationale,pubchem_active_assays,distinct_target_genes,inhibits_lysosomal_acidification,blocks_autophagic_flux,impairs_collagen_secretion,cartilage_or_bone_length_data,bone_pmids,hard_exclusion,classification
amino-acid sensing / Rag-Ragulator,leucine,6106.0,SLC38A9 / Rag GTPase input,activator (nutrient),physiological MTORC1 input that does not touch lysosomal acidification,18,0,no direct evidence (103 records),no direct evidence (178 records),47 PubMed records,36,39349089; 33434347; 33319921,,CLEAN_ANABOLISM_CANDIDATE
amino-acid sensing / Rag-Ragulator,L-leucyl-L-leucine methyl ester,,lysosomal amino-acid load,activator,raises lysosomal amino acids without V-ATPase block,0,0,no direct evidence (8 records),no direct evidence (14 records),0 PubMed records,0,,,CLEAN_ANABOLISM_CANDIDATE
amino-acid sensing,"3,3'-diindolylmethane",3071.0,SAMTOR/methionine axis,modulator,methionine-sensing branch probe,91,10,no direct evidence (0 records),no direct evidence (3 records),0 PubMed records,0,,,CLEAN_ANABOLISM_CANDIDATE
IGF1R-AKT-MTORC1,IGF1,,IGF1R,agonist,the reference productive-anabolism control; grew metatarsals as much as bafilomycin,0,0,no direct evidence (2 records),no direct evidence (97 records),74 PubMed records,211,42502703; 42464260; 42345299,,REFERENCE_CONTROL
IGF1R-AKT-MTORC1,insulin,70678557.0,INSR/IGF1R,agonist,"same branch, orthogonal ligand",0,0,no direct evidence (124 records),no direct evidence (575 records),416 PubMed records,567,42510919; 42502703; 42464260,,REFERENCE_CONTROL
IGF1R-AKT-MTORC1,SC79,2810830.0,AKT1,activator,small-molecule AKT activator - reaches MTORC1 without lysosomal inhibition,8,5,no direct evidence (3 records),no direct evidence (29 records),1 PubMed records,1,33529250,,CLEAN_ANABOLISM_CANDIDATE
MTORC1 negative-regulator inhibition,MHY1485,2834965.0,MTOR,activator,reported small-molecule MTOR activator,4,2,no direct evidence (0 records),no direct evidence (52 records),0 PubMed records,0,,,CLEAN_ANABOLISM_CANDIDATE
AMPK / DDIT4 relief,compound C (dorsomorphin),11524144.0,PRKAA1/AMPK,inhibitor,relieves AMPK restraint on MTORC1; BMP-type off-target must be controlled,227,53,no direct evidence (0 records),no direct evidence (1 records),0 PubMed records,0,,,CLEAN_ANABOLISM_CANDIDATE
4EBP1 restraint relief,4EGI-1,5717952.0,EIF4E-EIF4G,inhibitor,translation-initiation probe for the 4EBP1 arm (direction must be checked),2,0,no direct evidence (0 records),no direct evidence (0 records),0 PubMed records,0,,,CLEAN_ANABOLISM_CANDIDATE
TFEB / lysosomal biogenesis,trehalose,7427.0,TFEB (indirect),activator,raises lysosomal biogenesis rather than blocking acidification,3,0,no direct evidence (13 records),no direct evidence (123 records),2 PubMed records,0,,,CLEAN_ANABOLISM_CANDIDATE
hypertrophic nutrient transport,L-glutamine,5961.0,SLC1A5/SLC7A5 input,substrate,biomass substrate for hypertrophic enlargement,7,0,no direct evidence (1 records),no direct evidence (5 records),1 PubMed records,1,21858477,,CLEAN_ANABOLISM_CANDIDATE
HAZARD CONTROL - V-ATPase poison,bafilomycin A1,6436223.0,V-ATPase,inhibitor,index probe; excluded as an intervention by the hard rules,38,4,yes (by design),yes (by design),4 PubMed records,3,26259639; 26077727; 16769263,direct V-ATPase poison,HAZARD_CONTROL
HAZARD CONTROL - MTORC1 inhibitor,Torin1,49836027.0,MTOR,inhibitor,MTORC1-dependence control,491,26,no direct evidence (3 records),no direct evidence (41 records),0 PubMed records,0,,MTORC1 inhibitor (opposite direction),HAZARD_CONTROL
